,en,ru,pl,be,uk,bg,sl,cs
10, UNICEF |0|  estimates that more than 80 percent of females and around 50 percent of males lack access to education centers.," ЮНИСЕФ |0| по оценкам, более 80 процентов женщин и около 50 процентов мужчин не имеют доступа к образовательным центрам."," UNICEF |0| szacuje, że ponad 80 procent kobiet i około 50 procent mężczyzn nie ma dostępu do ośrodków edukacyjnych."," ЮНІСЕФ |0| Паводле ацэнак, больш за 80 працэнтаў жанчын і каля 50 працэнтаў мужчын не маюць доступу да адукацыйных цэнтраў."," ЮНІСЕФ |0| За оцінками, понад 80 відсотків жінок і близько 50 відсотків чоловіків не мають доступу до освітніх центрів."," УНИЦЕФ |0| изчислява, че повече от 80 процента от жените и около 50 процента от мъжете нямат достъп до образователни центрове."," UNICEF |0| ocenjuje, da več kot 80 odstotkov žensk in približno 50 odstotkov moških nima dostopa do izobraževalnih centrov."," UNICEF |0| odhaduje, že více než 80 procent žen a přibližně 50 procent mužů nemá přístup do vzdělávacích center."
11, The Council |0|  is responsible for carrying out both foreign and domestic policies.," Совет |0| отвечает за проведение как внешней, так и внутренней политики."," Rada |0| odpowiada za prowadzenie zarówno polityki zagranicznej, jak i krajowej."," Савет |0| адказвае за правядзенне як знешняй, так і ўнутранай палітыкі."," Рада |0| відповідає за проведення як зовнішньої, так і внутрішньої політики."," Съветът |0| отговаря за провеждането както на външната, така и на вътрешната политика.", Svet |0| je odgovoren za izvajanje zunanje in notranje politike., Rada |0| je odpovědný za provádění zahraniční i domácí politiky.
12," RTSH |0|  has a past of being heavily influenced by the ruling party in its reporting, that being left or right winged."," РТШ |0| в прошлом он находился под сильным влиянием правящей партии в своих отчетах, будучи левым или правым."," RTSH |0| w przeszłości był pod silnym wpływem partii rządzącej w swoich raportach, że jest lewicą lub prawicą."," РТШ |0| мае ў мінулым моцны ўплыў кіруючай партыі ў сваіх справаздачах, што левыя ці правыя."," РТШ |0| має в минулому сильний вплив правлячої партії у своїх звітах, лівих чи правих."," RTSH |0| има минало, че е бил силно повлиян от управляващата партия в своите доклади, че е бил ляво или дясно крило."," RTSH |0| ima preteklost, ko je v svojem poročanju močno vplivala vladajoča stranka, da je bil levi ali desni."," RTSH |0| má za sebou minulost, kdy byl ve svých zprávách silně ovlivňován vládnoucí stranou, levicovou nebo pravicovou stranou."
13, One of the primary features of Ōmoto-kyō |0|  is its emphasis on the attainment of utopia during one 's life., Одна из основных особенностей Омото-кё |0| является его акцент на достижении утопии в течение жизни., Jedna z podstawowych cech Ōmoto-kyō |0| kładzie nacisk na osiągnięcie utopii w ciągu życia., Адна з асноўных асаблівасцяў Ōmoto-kyō |0| з'яўляецца яго акцэнт на дасягненні ўтопіі на працягу свайго жыцця., Одна з основних характеристик Ōmoto-kyō |0| є його наголос на досягненні утопії протягом життя., Една от основните характеристики на Ōmoto-kyō |0| е нейният акцент върху постигането на утопия през живота., Ena od glavnih značilnosti Ōmoto-kyō |0| je njen poudarek na doseganju utopije v življenju., Jeden z hlavních rysů Ōmoto-kyō |0| je jeho důraz na dosažení utopie během života.
14, Atari |0|  has also used the game for its other late ' 90s and 2000 's anthology series., Атари |0| также использовала эту игру для другой серии антологий конца 90-х и 2000-х годов., Atari |0| wykorzystał tę grę również w innych seriach antologii z końca lat 90. i 2000., Atari |0| таксама выкарыстоўваў гульню для іншых серый анталогіі канца 90-х і 2000-х гадоў., Atari |0| також використовував гру для інших антологій кінця 90-х і 2000-х років., Atari |0| е използвал играта и за другите си антологични серии от края на 90-те и 2000-те., Atari |0| je igro uporabil tudi za svoje druge antologijske serije iz poznih 90-ih in 2000-ih., Atari |0| také použil hru pro svou další sérii antologií z konce 90. let a z roku 2000.
15," In recent years, the possibility of Audi |0|  being spun off or otherwise divested by Volkswagen |0|  has been mooted", В последние годы возможности Audi |0| отделяется или иным образом отчуждается от Volkswagen |0| был обсужден, W ostatnich latach możliwość Audi |0| wydzielone lub w inny sposób zbywane przez Volkswagena |0| był dyskutowany, У апошнія гады з'явілася магчымасць Audi |0| выдзяляецца або іншым чынам выкуплена Volkswagen |0| было абмеркавана, В останні роки з'явилася можливість Audi |0| відокремлена або іншим чином вилучена Volkswagen |0| було обговорено, През последните години възможността за Audi |0| отделено или по друг начин продадено от Volkswagen |0| е обсъден, V zadnjih letih je možnost Audi |0| ki ga je Volkswagen izločil ali kako drugače odsvojil |0| je bilo obravnavano, V posledních letech možnost Audi |0| odštěpený nebo jinak zbavený Volkswagen |0| byl diskutován
16," Audi |0|  produces 100% galvanised cars to prevent corrosion, and was the first mass-market vehicle to do so, following introduction of the process by Porsche |0| , c.1975."," Ауди |0| производит автомобили, на 100 % оцинкованные для предотвращения коррозии, и стал первым массовым автомобилем, сделавшим это после того, как компания Porsche представила этот процесс |0| , 1975 г."," Audi |0| produkuje w 100% ocynkowane samochody w celu zapobiegania korozji i był pierwszym pojazdem na rynku masowym, który to zrobił, po wprowadzeniu tego procesu przez Porsche |0| , ok. 1975."," Audi |0| вырабляе 100% ацынкаваныя аўтамабілі для прадухілення карозіі, і быў першым аўтамабілем масавага рынку, які зрабіў гэта пасля ўкаранення працэсу Porsche |0| , c.1975."," Audi |0| виробляє 100% оцинковані автомобілі для запобігання корозії, і був першим транспортним засобом масового ринку, який зробив це після впровадження процесу Porsche |0| , бл.1975."," Audi |0| произвежда 100% поцинковани автомобили за предотвратяване на корозия и е първият автомобил на масовия пазар, който направи това, след въвеждането на процеса от Porsche |0| , около 1975 г."," Audi |0| proizvaja 100-odstotno pocinkane avtomobile za preprečevanje korozije in je bilo prvo množično vozilo, ki je to storilo po uvedbi postopka s strani Porscheja |0| , c.1975."," Audi |0| vyrábí 100% pozinkovaná auta, aby zabránila korozi, a byla prvním masově prodávaným vozidlem, které to dokázalo, po zavedení procesu Porsche |0| , kolem roku 1975."
17," To achieve this, Audi |0|  has usually engineered its cars with a longitudinally front mounted engine, in an "" overhung "" position, over the front wheels in front of the axle line."," Для этого Audi |0| обычно проектирует свои автомобили с двигателем, расположенным спереди продольно, в «нависающем» положении над передними колесами перед осевой линией."," Aby to osiągnąć, Audi |0| zwykle konstruuje swoje samochody z silnikiem montowanym wzdłużnie z przodu, w pozycji „zawieszonej”, nad przednimi kołami przed linią osi."," Каб дасягнуць гэтага, Audi |0| звычайна распрацоўвае свае аўтамабілі з падоўжным пярэднім рухавіком, у «навешаным» становішчы, над пярэднімі коламі перад лініяй восі."," Щоб досягти цього, Audi |0| зазвичай розробляє свої автомобілі з поздовжньо переднім двигуном, у «звислому» положенні, над передніми колесами перед лінією осі."," За да постигне това, Audi |0| обикновено проектира своите автомобили с надлъжно монтиран отпред двигател, в ""надвесно"" положение, над предните колела пред линията на осите."," Da bi to dosegli, Audi |0| je svoje avtomobile običajno oblikoval z vzdolžno spredaj nameščenim motorjem, v ""previsenem"" položaju, nad sprednjimi kolesi pred linijo osi."," Aby toho bylo dosaženo, Audi |0| obvykle konstruovala své vozy s motorem namontovaným podélně vpředu v „převislé“ poloze nad předními koly před linií nápravy."
18," Beginning in 2006, Audi |0|  has implemented white LED technology as daytime running lights in their products.", Начиная с 2006 года Audi |0| внедрила в свою продукцию технологию белых светодиодов в качестве дневных ходовых огней., Od 2006 roku Audi |0| w swoich produktach wdrożyło technologię białych diod LED jako światła do jazdy dziennej.," Пачынаючы з 2006 года, Audi |0| укараніла тэхналогію белых святлодыёдаў у якасці дзённых хадавых агнёў у сваіх прадуктах."," Починаючи з 2006 року, Audi |0| впровадила технологію білого світлодіода в якості денних ходових вогнів у своїх продуктах.", От 2006 г. Audi |0| внедри бяла LED технология като дневни светлини в своите продукти.," Začetek leta 2006, Audi |0| je v svoje izdelke vpeljal belo LED tehnologijo kot dnevne luči."," Počínaje rokem 2006, Audi |0| implementovala do svých produktů technologii bílé LED jako světla pro denní svícení."
19, Audi |0|  has competed in numerous forms of motorsports., Ауди |0| участвовал во многих видах автоспорта., Audi |0| startował w wielu formach sportów motorowych., Audi |0| удзельнічаў у шматлікіх відах аўтаспорту., Audi |0| брав участь у багатьох видах автоспорту., Audi |0| се е състезавал в множество форми на моторни спортове., Audi |0| je tekmoval v številnih oblikah motošporta., Audi |0| soutěžil v mnoha formách motoristického sportu.
20, Audi |0|  is a strong partner of different kinds of sports., Ауди |0| является надежным партнером различных видов спорта., Audi |0| jest silnym partnerem różnych dyscyplin sportowych., Audi |0| з'яўляецца моцным партнёрам розных відаў спорту., Audi |0| є міцним партнером різних видів спорту., Audi |0| е силен партньор на различни видове спорт., Audi |0| je močan partner različnih športov., Audi |0| je silným partnerem různých druhů sportů.
21, Audi |0|  has stated that additional content will be added in 2010.," Ауди |0| заявил, что дополнительный контент будет добавлен в 2010 году."," Audi |0| oświadczył, że dodatkowe treści zostaną dodane w 2010 roku."," Audi |0| заявіў, што дадатковы кантэнт будзе дададзены ў 2010 годзе."," Audi |0| заявив, що додатковий вміст буде додано в 2010 році."," Audi |0| заяви, че допълнително съдържание ще бъде добавено през 2010 г."," Audi |0| je izjavil, da bo leta 2010 dodana dodatna vsebina."," Audi |0| uvedla, že další obsah bude přidán v roce 2010."
22, The next phase of technology Audi |0|  is developing is the e-tron electric drive powertrain system., Следующий этап технологий Audi |0| разрабатывается система трансмиссии с электроприводом e-tron., Kolejna faza technologii Audi |0| rozwija się układ napędowy z napędem elektrycznym e-tron., Наступны этап тэхналогіі Audi |0| распрацоўваецца сістэма электрапрывада e-tron., Наступний етап технології Audi |0| розробляється система електроприводу e-tron., Следващата фаза на технологията Audi |0| разработва се електрическата задвижваща система e-tron., Naslednja faza tehnologije Audi |0| razvija električni pogonski sistem e-tron., Další fáze technologie Audi |0| vyvíjí systém elektrického pohonu e-tron.
23, Much of the software Apple |0|  develops is bundled with its computers., Большая часть программного обеспечения Apple |0| развивается в комплекте со своими компьютерами., Większość oprogramowania Apple |0| rozwija się w pakiecie ze swoimi komputerami., Большая частка праграмнага забеспячэння Apple |0| develops ідзе ў камплекце са сваімі кампутарамі., Значна частина програмного забезпечення Apple |0| develops входить у комплект зі своїми комп'ютерами., Голяма част от софтуера Apple |0| develops е в комплект с неговите компютри., Velik del programske opreme Apple |0| develops je v paketu s svojimi računalniki., Velká část softwaru Apple |0| vyvíjí je dodáván s počítači.
24," While this brand loyalty is considered unusual for any product, Apple |0|  appears not to have gone out of its way to create it."," Хотя такая лояльность к бренду считается необычной для любого продукта, Apple |0| кажется, не старался изо всех сил, чтобы создать его."," Chociaż ta lojalność wobec marki jest uważana za niezwykłą w przypadku każdego produktu, Apple |0| wydaje się, że nie zrobił wszystkiego, co w jego mocy, aby go stworzyć."," Нягледзячы на ​​тое, што лаяльнасць да гэтай маркі лічыцца незвычайнай для любога прадукту, Apple |0| здаецца, не зрабіў усё, каб стварыць яго."," Хоча лояльність до цієї марки вважається незвичайною для будь-якого продукту, Apple |0| схоже, не доклав усіх зусиль, щоб створити його."," Въпреки че лоялността към тази марка се счита за необичайна за всеки продукт, Apple |0| изглежда не се е постарала да го създаде."," Čeprav se zvestoba tej blagovni znamki šteje za nenavadno za kateri koli izdelek, Apple |0| zdi se, da se ni potrudil, da bi ga ustvaril."," I když je tato věrnost značce považována za neobvyklou u jakéhokoli produktu, Apple |0| zdá se, že nevyšel ze své cesty k jeho vytvoření."
25," While the conferences continue, Apple |0|  does not have official representation there."," Пока конференции продолжаются, Apple |0| не имеет там официального представительства."," Podczas gdy konferencje trwają, Apple |0| nie ma tam oficjalnego przedstawicielstwa."," Пакуль канферэнцыі працягваюцца, Apple |0| не мае там афіцыйнага прадстаўніцтва."," Поки конференції тривають, Apple |0| не має там офіційного представництва."," Докато конференциите продължават, Apple |0| няма официално представителство там."," Medtem ko se konference nadaljujejo, Apple |0| tam nima uradnega predstavništva."," Zatímco konference pokračují, Apple |0| tam nemá oficiální zastoupení."
26," Apple |0|  has a history of vertical integration in their products, manufacturing the hardware on which they pre-install their software."," яблоко |0| имеет опыт вертикальной интеграции своих продуктов, производя аппаратное обеспечение, на которое они предварительно устанавливают свое программное обеспечение."," Jabłko |0| ma historię integracji pionowej w swoich produktach, produkując sprzęt, na którym wstępnie instalują swoje oprogramowanie."," Яблык |0| мае гісторыю вертыкальнай інтэграцыі ў свае прадукты, вырабляючы апаратнае забеспячэнне, на якое яны папярэдне ўсталёўвалі сваё праграмнае забеспячэнне."," Apple |0| має історію вертикальної інтеграції в свої продукти, виробляючи апаратне забезпечення, на яке вони попередньо встановлюють своє програмне забезпечення."," Apple |0| има история на вертикална интеграция в своите продукти, произвеждайки хардуера, на който предварително инсталират своя софтуер."," Apple |0| ima zgodovino vertikalne integracije v svojih izdelkih, pri izdelavi strojne opreme, na katero vnaprej namestijo svojo programsko opremo."," Jablko |0| má historii vertikální integrace ve svých produktech a vyrábí hardware, na který předinstalovává svůj software."
27, Apple |0|  has also begun to advertise how environmentally friendly their new laptops are with television spots and magazine ads along with stating these facts on their website.," яблоко |0| также начали рекламировать экологичность своих новых ноутбуков в телевизионных роликах и рекламе в журналах, а также размещать эти факты на своем веб-сайте."," Jabłko |0| zaczęła również reklamować, jak przyjazne dla środowiska są ich nowe laptopy, za pomocą spotów telewizyjnych i reklam w czasopismach, a także podając te fakty na swojej stronie internetowej."," Яблык |0| таксама пачаў рэкламаваць, наколькі экалагічна чыстыя іх новыя наўтбукі, у тэлевізійных і часопісных рэкламах разам з выказваннем гэтых фактаў на сваім сайце."," Apple |0| також почала рекламувати, наскільки екологічно чисті їхні нові ноутбуки, за допомогою телевізійних роликів і журнальної реклами разом із зазначенням цих фактів на своєму веб-сайті."," Apple |0| също така започна да рекламира колко екологични са новите им лаптопи с телевизионни спотове и реклами в списания, заедно с посочването на тези факти на уебсайта си."," Apple |0| je tudi začel oglaševati, kako okolju prijazni so njihovi novi prenosniki s televizijskimi vložki in oglasi v revijah ter navajati ta dejstva na svoji spletni strani."," Jablko |0| také začala inzerovat, jak jsou jejich nové notebooky šetrné k životnímu prostředí, prostřednictvím televizních spotů a reklam v časopisech spolu s uvedením těchto skutečností na svých webových stránkách."
28," Apple |0|  has been criticized for using sweatshop labor practices, environmental degradation, and unethical business practices."," яблоко |0| подвергается критике за использование потогонных методов труда, ухудшение состояния окружающей среды и неэтичные методы ведения бизнеса."," Jabłko |0| został skrytykowany za stosowanie praktyk pracy w sweatshopach, degradację środowiska i nieetyczne praktyki biznesowe."," Яблык |0| быў падвергнуты крытыцы за выкарыстанне практыкі працы ў потагонных цэхах, пагаршэнне навакольнага асяроддзя і неэтычную практыку вядзення бізнесу."," Apple |0| піддавався критиці за використання методів праці в потогонних цехах, погіршення стану навколишнього середовища та неетичних методів ведення бізнесу."," Apple |0| е критикуван за използване на работни практики, влошаване на околната среда и неетични бизнес практики."," Apple |0| je bil kritiziran zaradi uporabe delovnih praks v delavnicah, degradacije okolja in neetičnih poslovnih praks."," Jablko |0| byl kritizován za používání manufakturních pracovních praktik, poškozování životního prostředí a neetických obchodních praktik."
29," Aztlan |0|  Underground |0|  has been cultivating a grass roots audience across the country, which has become a large and loyal underground following."," Астлан |0| Подземный |0| культивирует массовую аудиторию по всей стране, которая стала большой и лояльной андеграундной аудиторией."," Aztlan |0| Podziemne |0| kultywuje oddolną publiczność w całym kraju, która stała się liczną i lojalną podziemną grupą."," Ацтлан |0| Падземны |0| культывуе масавую аўдыторыю па ўсёй краіне, якая стала вялікай і лаяльнай падпольнай аўдыторыяй."," Азтлан |0| Підземний |0| культивує низову аудиторію по всій країні, яка стала великою та лояльною підпільною аудиторією."," Aztlan |0| Подземно |0| култивира широка публика в цялата страна, която се превърна в голям и лоялен ъндърграунд последовател."," Aztlan |0| Podzemna |0| goji množično občinstvo po vsej državi, ki je postalo veliko in zvesto podzemlje."," Aztlan |0| Podzemní |0| kultivuje základní publikum po celé zemi, které se stalo velkým a loajálním undergroundovým následovníkem."
30, The AFI |0|  Conservatory |0|  focuses on training through hands-on experience with established artists.,АФИ |0| Консерватория |0| фокусируется на обучении посредством практического опыта с известными художниками.,AFI |0| Konserwatorium |0| skupia się na szkoleniu poprzez praktyczne doświadczenie z uznanymi artystami.,AFI |0| Кансерваторыя |0| факусуюць на навучанні праз практычны вопыт з вядомымі мастакамі.,AFI |0| Консерваторія |0| зосереджується на навчанні через практичний досвід роботи з визнаними художниками.,AFI |0| Консерватория |0| се фокусира върху обучение чрез практически опит с утвърдени художници.,AFI |0| Konservatorij |0| se osredotoča na usposabljanje prek praktičnih izkušenj z uveljavljenimi umetniki.,AFI |0| Zimní zahrada |0| se zaměřuje na školení prostřednictvím praktických zkušeností se zavedenými umělci.
31," In addition to all this, the Analog |0|  Brothers |0|  continue to make frequent appearances on each other 's solo albums."," Помимо всего этого, Аналог |0| Братья |0| продолжают часто появляться на сольных альбомах друг друга.", Oprócz tego analogowy |0| Bracia |0| nadal często pojawiają się na swoich solowych albumach., У дадатак да ўсяго гэтага аналагавы |0| Браты |0| працягваюць часта выступаць на сольных альбомах адзін аднаго.," На додаток до всього цього, аналог |0| Брати |0| продовжують часто з'являтися в сольних альбомах один одного."," В допълнение към всичко това, аналоговият |0| Братя |0| продължават да се появяват често в солови албуми на другия.", Poleg vsega tega je analogni |0| Bratje |0| se še naprej pogosto pojavljata na samostojnih albumih drug drugega., Navíc k tomu všemu je analogový |0| Bratři |0| nadále často vystupují na svých sólových albech.
32," ABBA |0|  remains a fixture of radio play lists and is one of the world 's best-selling bands, having sold over 375 million records worldwide, making them the fourth best-selling popular music artists in the history of recorded music."," АББА |0| остается неотъемлемой частью плейлистов на радио и является одной из самых продаваемых групп в мире, продавших более 375 миллионов пластинок по всему миру, что делает их четвертыми самыми продаваемыми исполнителями популярной музыки в истории записываемой музыки."," ABBA |0| pozostaje stałym elementem list słuchowisk radiowych i jest jednym z najlepiej sprzedających się zespołów na świecie, sprzedając ponad 375 milionów płyt na całym świecie, co czyni go czwartym najlepiej sprzedającym się wykonawcą muzyki popularnej w historii nagrań muzycznych."," ABBA |0| застаецца неад'емнай часткай спісаў радыё і з'яўляецца адным з самых прадаваных гуртоў у свеце, прадаўшы больш за 375 мільёнаў пласцінак па ўсім свеце, што робіць іх чацвёртымі па продажы выканаўцамі папулярнай музыкі ў гісторыі запісанай музыкі."," ABBA |0| залишається невід’ємною частиною списків відтворення на радіо і є однією з найбільш продаваних груп у світі, продавши понад 375 мільйонів записів по всьому світу, що робить їх четвертими найбільш продаваними виконавцями популярної музики в історії записаної музики."," АББА |0| остава неизменна част от списъците с радио музика и е една от най-продаваните банди в света, като е продала над 375 милиона записи по целия свят, което ги прави четвъртите най-продавани популярни музикални изпълнители в историята на записаната музика."," ABBA |0| ostaja stalnica radijskih seznamov predvajanja in je ena izmed najbolje prodajanih svetovnih zasedb, saj je prodala več kot 375 milijonov plošč po vsem svetu, zaradi česar so četrti najbolje prodajani izvajalci popularne glasbe v zgodovini posnete glasbe."," ABBA |0| zůstává stálicí na seznamech rádií a je jednou z nejprodávanějších kapel na světě, s více než 375 miliony prodaných nahrávek po celém světě, což z nich dělá čtvrté nejprodávanější umělce populární hudby v historii reprodukované hudby."
