,entity,gender
340,Франц Йозеф фон Залм-Залм,m
341,Йохан Карл ,m
342,Димитър Айгъров,m
343,Райчо Каролев,m
344,Санчо VII Наварски,m
345,Фердинандо I ,m
346,Джиаджак Джакели,f
347,Матео II Висконти,m
348,Алекса Даскалов,m
349,Фридрих V фон Лайнинген,m
350,Малатеста да Верукио,m
351,Грегорио Алегри,m
352,Христо Българиев,m
353,Пиетро Кампофрегосо,m
354,Ернст фон Липе-Бистерфелд,m
355,Викторин Галабер,m
356,Христо Стоянов ,m
357,Георги Зографски,m
358,Доротея София фон дер Пфалц,f
359,Уилям Смит ,m
360,Халил Рифат паша,m
361,Дамян Андреев,m
362,Албрехт IV фон дер Шуленбург,m
363,Дмитрий Ивановски,m
364,Арнолд от Егмонт,m
365,Каталина-Микаела Испанска,f
366,Пьотър Соколов,m
367,Халфорд Макиндер,m
368,Яков Мажовски,m
369,Йохан IV фон Хунолщайн,m
370,Григор Тотев,m
371,Олга Форш,f
372,Бенито Перес Галдос,m
373,Петър Шилев,m
374,Хайнрих Млади фон Щолберг,m
375,Аделхайд фон Ваймар-Орламюнде,f
376,Кимбурга фон Баден,f
377,Джордж Пикет,m
378,Петър Богдан,m
379,Константин Кюров,m
380,Вилхелм Пруски ,m
381,Ото II фон Шайерн,m
382,Вилхелм Хайнрих Шуслер,m
383,Фридрих Георг Август фон Хесен-Дармщат,m
384,Емилия Секунда Антверпиана от Орания-Насау,f
385,Вангел Калеичев,m
386,Бенедикт XIII,m
387,Конрад II ,m
388,Йохан Фридрих ,m
389,Гаврил Кръстевич,m
390,Ото фон Лимбург-Щирум,m
391,Морис Льоблан,m
392,Йохан Вилхелм ,m
393,Джеймс Макферсън,m
394,Паоло Джордано I Орсини,m
395,Вилхелм I ,m
396,Мелетий Византийски,m
397,Никола Петканов,m
398,Лудовико Висконти,m
399,Анж-Жак Габриел,m
400,Пиер Бейл,m
401,Георгиос Зервас,m
402,Хю Клапертън,m
403,Джедидая Смит,m
404,Трищан да Куня,m
405,Тигидий Перен,m
406,Марин Маринов ,m
407,Георг ,m
408,Фридрих Вилхелм II ,m
409,Готфрид II фон Хоенлое-Браунек,m
410,Емил Нолде,m
411,Симон II ,m
412,Василий Смирненски,m
413,Ангел Карахордиев,m
414,Анна Елизабет фон Йотинген-Йотинген,f
415,Сибила фон Баден,f
416,Йован Венедиков,m
417,Умберто I,m
418,Франсоа Кене,m
419,Луиджи Орсини,m
420,Ангел Букорещлиев,m
421,Цветан Кузманов,m
422,Ибрахим паша Дамат,m
423,Чедомил Миятович,m
424,Мануил Комнин ,m
425,Георги Сгурев,m
426,Уилям Гилбърт,m
427,Йозеф Мария фон Радовиц,m
428,Мариано Гуадалупе Валехо,m
429,Торбен Грут,m
430,Хайнрих Юлий ,m
431,Атанас Павлов,m
432,Никола Биолчев,m
433,Ернест Хофман,m
434,Уилям Фокс Талбот,m
435,Конрад ,m
436,Саксо Граматик,m
437,Джеймс Кук,m
438,Луис Карол,m
439,Карл Хрон,m
440,Матилда фон Липе,f
441,Живко Добрев,m
442,Мария Стюарт,f
443,Панайот Наум,m
444,Маргарета фон Андекс-Мерания,f
445,Владимир Немирович-Данченко,m
446,Коте Чорбаджигошев,m
447,Байъм Шоу,m
448,Димитриос Сарос,m
449,Франц Егон фон Фюрстенберг,m
450,Ангел Хаджимишев ,m
451,Доротея фон Шлезвиг-Холщайн-Зондербург-Бек,f
452,Катерина Бранкович,m
453,Емануил Папас,m
454,Михаил Ганчев,m
455,Георги Згурев,m
456,Спас Добрев,m
457,Грегория Максимилиана Австрийска,f
458,Евдокия Ангелина,f
459,Вилхелм II ,m
460,Милан Миличевич,m
461,София Магдалена фон Залм-Райфершайд,f
462,Катарина фон Бранденбург-Кюстрин,f
463,Хенрик Ибсен,m
464,Велико Йорданов ,m
465,Адолф III фон Насау-Висбаден-Идщайн,m
466,Годфроа II ,m
467,Димитър Вачов,m
468,Хайнрих III ,m
469,Карл Ксавер Максимилиан фон Хоентал,m
470,Жул Делез,m
471,Йохан II фон Бронкхорст,m
472,Ангел Гацо,m
473,Фридрих II ,m
474,Самюъл Кокс,m
475,Пиетро Бернини,m
476,Филип I ,m
477,Димитър Папрадишки,m
478,Гюстав Емар,m
479,Михаил Критовул,m
480,Винценц Карл фон Ауершперг,m
481,Бруно фон Шауенбург,m
482,"Лудвиг Вилхелм, маркграф на Баден-Баден",m
483,Дирк фон Бронкхорст-Батенбург,m
484,Хайнрих IV фон Хенеберг,m
485,Иля Репин,m
486,Карл Алберт ,m
487,Гюнтер XLIII ,m
488,Кириак Костанди,m
489,Йозеф Стефан,m
490,Ернст Казимир I ,m
491,Родолфо Гонзага,m
492,Жеронимо Лубу,m
493,Вилхелм II Добрия ,m
494,Еберхард фон Вюртемберг ,m
495,Лазар Киселинчев,m
496,Ернст I фон Регенщайн-Бланкенбург,m
497,Анна I Ягелонка,f
498,Йово Йованович,m
499,Роберт Вине,m
500,Уилям Бересфорд,m
501,Апостол Грежов,m
502,Ангелика Катарина фон Лайнинген-Вестербург,f
503,Августа Елизабет фон Вюртемберг,f
504,Иван Дорев,m
505,Максим Ненов,m
506,Ахмед Назър паша,m
507,Николай Пржевалски,m
508,Атанас Гущанов,m
509,Георг Албрехт ,m
510,Карл Фридрих Готлиб фон Кастел,m
511,Фридрих Лотар фон Щадион,m
512,Карл Теодор Ото фон Залм,m
513,Йохан II ,m
514,Николай Хаников,m
515,Алесандро Медичи,m
516,Гизберт Стари фон Бронкхорст,m
517,Мартин Шпанберг,m
518,Лудвиг фон дер Асебург-Хиненбург,m
519,Ото I ,m
520,Жан-Батист Колбер,m
521,Бернхард фон Липе-Вайсенфелд,m
522,Вилхелм II фон Золмс-Браунфелс-Грайфенщайн,m
523,Васил Атанасов ,m
524,Франческо Мария Медичи,m
525,Анна Катарина Доротея фон Залм-Кирбург,f
526,Якоб Харевейн,m
527,Марко Минчев,m
528,Коста Шахов,m
529,Никифор III Вотаниат,m
530,Платон Скуликидис,m
531,Карл V,m
532,Георг II ,m
533,Ал-Адил,m
534,Антиноген Хаджов,m
535,Йохан VII фон Зайн-Витгенщайн,m
536,Етиен дьо Флакур,m
537,Хартман I ,m
538,Нако Станишев,m
539,Ернст Вилхелм фон Брюке,m
540,Вилхелм Млади ,m
541,Мария Елизабет фон Пфалц-Цвайбрюкен,f
542,Анна София фон Брауншвайг-Волфенбютел,f
543,Христо Гъбенски,m
544,Хайнрих Борвин II ,m
545,Ованес Таракджиян,m
546,Хайнрих V Роус-Грайц,m
547,Никола Майков,m
548,Григорий XVI,m
549,Христо Попов ,m
550,Мария фон Баден ,f
551,Волфганг II фон Кастел-Ремлинген,m
552,Кристоф Белгикус фон Дона-Лаук,m
553,Лука Иванов,m
554,Ричард Колинсън,m
555,Катарина фон Хесен,f
556,Франц Марквард фон Хорнщайн-Гьофинген,m
557,Жан Батист Камий Коро,m
558,Казимир фон Кастел-Рюденхаузен,m
559,Паоло Брунони,m
560,Уилям Блекстоун,m
561,Николаос Касомулис,m
562,Валрам IV ,m
563,Руал Амундсен,m
564,Антон Флориан фон Лихтенщайн,m
565,Новак Радонич,m
566,Жул Борде,m
567,Антон Рубинщайн,m
568,Арнолд Шьонберг,m
569,Станко Враз,m
570,Тодор Марков,m
571,Анна Сибила фон Шварцбург-Рудолщат,f
572,Никола Вецов,m
573,Георги Пандев,m
574,Фердинан Бюисон,m
575,Диан дьо Поатие,m
576,Любор Нидерле,m
577,Джузепе Мария Гонзага,m
578,Доминик Константин фон Льовенщайн-Вертхайм-Рошфор,m
579,Жак Савойски-Ахая,m
580,Хенри Филдинг,m
581,Тадеуш Волянски,m
582,Стефан Попов ,f
583,Хайнрих Дебели,m
584,Джовани Медичи ,m
585,Гизела Агнес фон Рат,f
586,Едуард Емерсън Барнард,m
587,Никола Бележков,m
588,Йовчо Хитров,m
589,Ернст Мария фон Лимбург-Щирум,m
590,Вернер IV ,m
591,Клавдия Фелисита Австрийска,f
592,Атанас Тодоров,m
593,Каролина фон Насау-Саарбрюкен,f
594,Баал Шем Тов,m
595,Съмърсет Моъм,m
596,Ернст Казимир ,m
597,Стефан Велики,m
598,Катерина Медичи ,f
599,Алфонсо Гонзага ,m
600,Маргарета фон Насау-Диленбург ,f
601,Георги Багажев,m
602,Илия Онбашиев,m
603,Жуау да Нова,f
604,Пиер дьо Бомарше,m
605,Лоти Дод,f
606,Франсоа Рабле,m
607,София фон Бранденбург-Ансбах-Кулмбах,f
608,Вилхелм I ,m
609,Лудвиг фон Майсен,m
610,Васил Диамандиев,m
611,Дионисий Папаянусис,m
612,Франц Йозеф I ,m
613,Адриан Белиер,m
614,Андреа дел Сарто,m
615,Лоренцо Кибо де Мари,m
616,Улрих VIII ,m
617,Андреа Грити,m
618,Роберт Бунзен,m
619,Алфонсо I д’Есте,m
620,Мадам Дю Бари,m
621,Александер фон Цинцендорф-Потендорф,m
622,Емил Вандервелд,m
623,Улубатлъ Хасан,m
624,Тодораки Пешов,m
625,Филипина фон Бранденбург-Швет,f
626,Вельо Чергов,m
627,Албрехт фон Баден,m
628,Йоан Палеолог ,m
629,Янко Кеновски,m
630,Едуард фон дер Пфалц,m
631,Йохан Георг I ,m
632,Йохан III ,m
633,Стивън Фостър,m
634,Вилхелм Фридрих ,m
635,Мариана ,f
636,Фирмилиан Скопски,m
637,Паскуале Чиконя,m
638,Йохан Андреас фон Волфщайн,m
639,Соломон Нортъп,m
640,Франсоа Доминик Тусен Лувертюр,m
641,Карл Фердинанд фон Рапах,m
642,Арну Бонвил дьо Марсанжи,m
643,Албърт Маркам,m
644,Ото I ,m
645,Надежда Петрович,f
646,Йохан Карл ,m
647,Йордан Пиперката,m
648,Улрих II фон Ханау,m
649,Мориц I ,m
650,Валентина Висконти ,f
651,Иван Хаджидимитров,m
652,Дитрих фон Фюрстенберг,m
653,Антон Рафаел Менгс,m
654,Ерих II ,m
655,Хайръм Стивънс Максим,m
656,Кристиан Крафт фон Хоенлое-Йоринген,m
657,Хайнрих IV ,m
658,Хайнрих фон Хамбург,m
659,Феодосий Шчедрин,m
660,Кристиан Ернст ,m
661,Йохан Конрад Фридрих фон Хардег,m
662,Илия Квачков,m
663,Елеонора Вилхелмина фон Анхалт-Кьотен,f
664,Елизабет фон Хесен ,f
665,Венцеслав I ,m
666,Еберхард фон Зайн-Витгенщайн,m
667,Николай Каликъл,m
668,Иван Драгов,m
669,Шарл Александър дьо Калон,m
670,Петко Сарафов,m
671,Петър Саратинов,m
672,Амоена Амалия фон Бентхайм-Текленбург,f
673,Хайнрих Кристиан Фридрих фон Брокдорф,m
674,Иван Драсов,m
675,Маргарета I ,f
676,Херман Хелмер,m
677,Михал Радживил,m
678,Карл Бонхьофер,m
679,Андре-Жозеф Лафит-Клаве,m
680,Джон Кемпбъл,m
681,Владимир Обручев,m
682,Елизабет Гаскел,f
683,Атанасиос Панайоту,m
684,Адалберо от Вюрцбург,m
685,Жозе I,m
686,Константин Дзеков,m
687,Лудвиг Фердинанд фон Зайн-Витгенщайн-Берлебург,m
688,Исмаил Ферик паша,m
689,Жана Френска,f
690,Георг фон Глайхен-Тона,m
691,Кристоф III Шенк фон Лимпург,m
692,Елеонора София фон Саксония-Ваймар,f
693,Етиен Кабе,m
694,Коста Сарафов,m
695,Деметрий Монфератски,m
696,Федерико Убалдо дела Ровере,m
697,Гертруд фон Дагсбург,f
698,Катаяма Сен,m
699,Херман Лоце,m
700,Фьодор Радецки,m
701,София Шарлота Ернестина фон Анхалт-Бернбург-Шаумбург-Хойм,f
702,Ернст I ,m
703,"Анна от Великобритания, Ирландия и Хановер",f
704,Жак Шарл,m
705,Александър Пузиревски,m
706,Камий Юйсманс,m
707,Иполита Мария Сфорца ,f
708,Мария фон Померания-Щетин,f
709,Георг II ,m
710,Готфрид I ,m
711,Адолф II ,m
712,Ян Черски,m
713,Екберт I ,m
714,Анна Ерика фон Валдек,f
715,Пеньо Енев,m
716,Клод Луи Ектор дьо Вилар,m
717,Уриел фон Геминген ,m
718,Валтер VI фон Кронберг,m
719,Кирил Фитовски,f
720,Георг Шенк фон Лимпург,m
721,Ото фон Вьолпе,m
722,Филчо войвода,m
723,Димитриос Каратасос,m
724,Софроний Първов,m
725,Фридрих фон Залм-Нойфвил,m
726,Ото Магнус фон Дьонхоф,m
727,Йохан Онкен,m
728,Албрехт II ,m
729,Васил Берон,m
730,Александър фон Розен,m
731,Жул Риме,m
732,Марко Лерински,m
733,Себастиано Дзиани,m
734,Георги Калинков,m
735,Махмуд от Кашгар,m
736,Генчо Кънев,m
737,Йохан фон Фрайбург,m
738,Филип I ,m
739,Анна София фон Пфалц-Цвайбрюкен-Биркенфелд,f
740,Петър Соколов,m
741,Георги Гогов,m
742,Кристиана Елизабет фон Холщайн-Зондербург-Францхаген,f
743,Херман Ото II фон Лимбург-Щирум,m
744,Август фон Щолберг,m
745,Чидиок Тичборн,m
746,Франц Месмер,m
747,Захарие Орфелин,m
748,Албоино I дела Скала,m
749,Фредерик III,m
750,Андреа Канова,f
751,Хайнрих V Ройс ,m
752,Карл Франц граф фон Мансфелд-Фордерорт,m
753,Елена Глинская,m
754,Луи I Валоа-Анжуйски,m
755,Георги Тутмаников,m
756,Симеон Мисов,m
757,Георг Фридрих ,m
758,Фридрих III фон Йотинген,m
759,Иполит Физо,m
760,Кузо Погончев ,m
761,Георги Гешанов,m
762,Йохан II ,m
763,Исмаил I,m
764,Ирина Унгарска,f
765,Огюстен Луи Коши,m
766,Конрад III ,m
767,Васил Дудев,m
768,Даниел Рантцау,m
769,Еберхард I фон Хабсбург-Лауфенбург,m
770,Димитрие Козакович,m
771,Аделаид Орлеанска,f
772,Ото VI ,m
773,Алексий IV Велики Комнин,m
774,Александър Турунджев,m
775,Мориц Казимир III ,m
776,Петър Нойков,m
777,Захиредин Бабур,m
778,Георги Дражев,m
779,Христо Огнянов ,m
780,Йохан Филип II фон Лайнинген-Дагсбург-Харденбург,m
781,Пий IX,f
782,Амаро Парго,m
783,Йохан фон Изенберг-Лимбург,m
784,Зигмунд ,m
785,Херман фон Щолберг-Вернигероде,m
786,Ернестина Елизабет фон Золмс-Зоненвалде,f
787,Изабела Фарнезе,f
788,Ернст Казимир II ,m
789,Мишел дьо Монтен,m
790,Иван Ведър,m
791,Никола Димов,m
792,Луи Петито,m
793,Роберт Шуман,m
794,Йохан Себастиан фон Хюрнхайм,m
795,Ернст I ,m
796,Август Филип ,m
797,Елинг Карлсен,m
798,Христо Тенчов ,m
799,Ан-Луи Жироде,m
800,Лукреция Торнабуони,f
801,"Франсоаз д'Обине, маркиза дьо Ментнон",m
802,Камий Демулен,m
803,Алексо Бъчваров,m
804,Балдуин V ,m
805,Туре де Тулструп,m
806,Тодор Зелев,m
807,Наум Костов,m
808,Филиберт II ,m
809,Врам Маркарян,m
810,Димитър Недялкович,m
811,Антон Шоурек,m
812,Хартман фон Лихтенщайн,m
813,Елизабет фон Ханау,f
814,Ренар дьо Дампиер,m
815,Едуард Смит-Стенли,m
816,Неделчо Орешков,m
817,Фридрих ,m
818,Джон Вен,m
819,Хенриета фон Мьомпелгард,f
820,Вилхелм ,m
821,Гийом от Тир,m
822,Карл Ернст Казимир ,m
823,Франц Юлий фон Саксония-Лауенбург,m
824,Вилхелм Албрехт Финк фон Финкенщайн,m
825,Фридрих Леополд фон Дона-Райхертсвалде,m
826,Никола Добрев,m
827,Жорж Бизе,m
828,Симо Соколов,m
829,Ото II фон Ботенлаубен,m
830,Мехтхилд фон Вюртемберг,f
831,Леополд II ,m
832,Дитрих XI фон дер Шуленбург,m
833,Стоян Тъпчилещов,m
834,Никола Фасио дьо Дюилие,m
835,Климент VII ,m
836,Джон Фримонт,m
837,Фолмар фон Карден,m
838,Кристиан V ,m
839,Дитрих IV ,m
840,Луи Жирар,m
841,Йохан Петер Хебел,m
842,Цани Гинчев,m
843,Елизабет Бурбон-Френска,f
844,Ханс Хайнрих V фон Хохберг,m
845,Робърт Шомбург,m
846,Кристиана фон Золмс-Лаубах,f
847,Евервин II фон Бентхайм,m
848,Вилхелм Паул Лудвиг фон Льовенщайн-Вертхайм-Фройденберг,m
849,Хайнрих фон Даун,m
850,Георг Филип фон Грайфенклау цу Фолрадс,m
851,Мария II ,m
852,Вернер Зомбарт,m
853,Джон Констабъл,m
854,Яган,m
855,Козма Прутков,m
856,Лудвиг I ,m
857,Пандолфо IV Малатеста,m
858,Яко Яковски,m
859,Михаил Катков,m
860,Божко Икономов,m
861,Георг Албрехт фон Изенбург-Бюдинген,m
862,Джеймс Фенимор Купър,m
863,Аарон бен Соломон Амарильо,m
864,Стоян Богданцалията,m
865,Хуан Мария Скувер,m
866,Хайнрих LXIII Ройс-Кьостриц,m
867,Ангел Лерински,m
868,Стефан II Милутин,m
869,Георгиос Буковалас,m
