,entity,number,gender
59,Jezuitski kolegij v Zagrebu,Sing,Masc
60,Apostolska nunciatura v Latviji,Sing,Fem
61,Urad za preprečevanje korupcije in organiziranega kriminala,Sing,Masc
62,(Hrvaška),,
63,Filozofska fakulteta v Banja Luki,Sing,Neut
64,Fakulteta za kemijo in farmacijo v Würzburgu,Sing,Fem
65,Odbor za zdravstvo Državnega zbora Republike Slovenije,Sing,Masc
66,Licej v Gradcu,Sing,Masc
67,Teatro Colón,Sing,Masc
68,Apostolska nunciatura v Španiji,Sing,Fem
69,Univerza McGill,Sing,Masc
70,Univerza v Innsbrucku,Sing,Masc
71,Vojaška akademija raketnih sil Dzeržinski,Sing,Fem
72,Nemško fizikalno društvo,Sing,Fem
73,Akademija dramskih umetnosti v Tuzli,Sing,Fem
74,Pravna fakulteta v Osijeku,Sing,Masc
75,Litovsko narodno gledališče Opera in balet,Sing,Neut
76,École Normale Supérieure,Plur,Fem
77,Fakulteta za matematiko in naravne vede v Kölnu,Sing,Masc
78,Akademija znanosti Češke republike,Sing,
79,Univerza Ernsta Moritza Arndta Greifswald,Sing,Fem
80,Filozofska fakulteta v Splitu,Sing,Neut
81,Muzej biblijskih dežel,Sing,Masc
82,Generalni konzulat Republike Slovenije v Torontu,Sing,Masc
83,Naravoslovno-matematična fakulteta v Tuzli,Sing,Neut
84,Apostolska nunciatura v Belgiji,Sing,Fem
85,Umetnostna fakulteta v Osijeku,Sing,Masc
86,Odbor za kmetijstvo in gozdarstvo Državnega zbora Republike Slovenije,Sing,Masc
87,Komisija za politiko enakih možnosti Državnega zbora Republike Slovenije,Sing,Fem
88,Preiskovalna komisija Državnega zbora Republike Slovenije o sumu zlorabe javnih pooblastil v procesu lastninskega preoblikovanja in privatizacije nekdanje družbene lastnine,Sing,Masc
89,Musée d'Orsay,,
90,Fakulteta za fiziko v Münchnu,Sing,Masc
91,Univerza Versailles,Sing,Fem
92,Mehansko-matematična fakulteta v Moskvi,Sing,Neut
93,Fakulteta za šport in telesno vzgojo v Sarajevu,Sing,Masc
94,Apostolska nunciatura v Uzbekistanu,Sing,Fem
95,Vojaški ordinariat Francije,Sing,
96,Observatorij Tičan,Sing,Masc
97,Veleposlaništvo Republike Slovenije v Avstraliji,Sing,Fem
98,Teološka fakulteta v izseljenstvu,Sing,Masc
99,Finančna oficirska šola JLA,Sing,Fem
100,Veleposlaništvo Republike Slovenije New Delhi,,
101,"Odbor za znanost, tehnologijo in razvoj Državnega zbora Republike Slovenije",Sing,Fem
102,"Stara pinakoteka, München",Sing,Fem
103,Slovenski raziskovalni inštitut,Sing,Masc
104,École centrale de Lille,Plur,Fem
105,Apostolska nunciatura v Salvadorju,Sing,Fem
106,Apostolska nunciatura v San Marinu,Sing,Fem
107,Apostolska nunciatura v Kazahstanu,Sing,Fem
108,Gruzijski narodni muzej,Sing,Masc
109,Matematična fakulteta na Dunaju,Sing,Neut
110,Kraljeva kanadska vojna mornarica,Sing,Fem
111,Šola za rezervne artilerijske častnike JLA,Sing,Fem
112,Metropolija Montréal,Sing,Masc
113,Vojaška akademija zvez Budjoni,Sing,Fem
114,Fakulteta za jezikovne in književne vede v Münchnu,Sing,Fem
115,Patristični inštitut Augustinianum,Sing,Masc
116,Generalni konzulat Republike Slovenije v Münchnu,Sing,Masc
117,Arhitekturna fakulteta v Zagrebu,Sing,Neut
118,Komisija za nadzor proračuna in drugih javnih financ Državnega zbora Republike Slovenije,Sing,Masc
119,Palacio de Aguas Corrientes,Sing,
120,Vojaška akademija oklepnih sil Malinovski,Sing,Fem
121,Vojaški ordinariat Kenije,Sing,Masc
122,Kartuzija Notre-Dame de Corée,Sing,Fem
123,Narodna knjižnica (Poljska),Sing,Fem
124,Apostolska nunciatura v Katarju,Sing,Fem
125,Slovenska matica,Sing,Fem
126,Fakulteta za biologijo v Würzburgu,Sing,Fem
127,Državni izpitni center,Sing,Masc
128,Apostolska nunciatura na Novi Zelandiji,Sing,Fem
129,Fakulteta za matematiko in informatiko v Würzburgu,Sing,Masc
130,Terezijanska vojaška akademija,Sing,Fem
131,Fakulteta prometnih znanosti v Zagrebu,Sing,Fem
132,Fakulteta za kulturološke vede v Münchnu,Plur,Fem
133,Mednarodna farmacevtska zveza,Sing,Fem
134,Univerza v Bologni,Sing,Fem
135,Jordanski muzej,Sing,
136,Farmacevtsko-biokemična fakulteta v Zagrebu,Sing,Neut
137,Apostolska nunciatura na Filipinih,Sing,Fem
138,Halska vrata,Sing,Fem
139,Pokrajinski arhiv Maribor,Sing,Masc
140,Odbor za okolje in prostor Državnega zbora Republike Slovenije,Sing,Masc
141,Preiskovalna komisija za ugotovitev politične odgovornosti nosilcev javnih funkcij v zvezi z domnevnim oškodovanjem državnega premoženja pri prodaji deležev Kapitalske družbe d.d. in Slovenske odškodninske družbe d. d. (...),,
142,"Fakulteta za zemeljske znanosti, geografijo in astronomijo na Dunaju",Plur,
143,Elektrotehniška fakulteta v Banja Luki,Sing,Fem
144,École nationale supérieure,Plur,Fem
145,d'arts et métiers,Sing,Masc
146,Veleposlaništvo Republike Slovenije v Franciji,Sing,Fem
147,Apostolska nunciatura v Demokratični republiki Kongo,Sing,Fem
148,Apostolska nunciatura na Poljskem,Sing,Fem
149,Štirje okronani,Plur,Masc
150,"Vojaška akademija za radiacijsko, kemijsko in biološko zaščito Timošenko",Sing,Fem
151,Apostolska nunciatura v Tanzaniji,Sing,Fem
152,Pravna fakulteta v Tuzli,Sing,Fem
153,Biblioteca Guarneriana,Sing,Fem
154,Musée national de la Marine,Sing,Masc
155,Fakulteta za gradbeništvo in arhitekturo v Splitu,Sing,Fem
156,Nacionalni muzej Irana,Sing,Fem
157,Musée de l'Armée,Sing,Masc
158,Apostolska nunciatura v Dominikanski republiki,Sing,Fem
159,Geološka fakulteta v Moskvi,Sing,Fem
160,Vojaški ordinariat Koreje,Sing,
161,Fakulteta za filozofijo in pedagogiko na Dunaju,Sing,Fem
162,"Verband der Elektrotechnik, Elektronik und Informationstechnik",Sing,Masc
163,Državna univerza v Moskvi,Sing,Fem
164,Pravna fakulteta v Mostarju,Sing,Neut
165,Apostolska nunciatura v Bosni in Hercegovini,Sing,Fem
166,Vojaški ordinariat Litve,Sing,Masc
167,Medicinska fakulteta v Banja Luki,Sing,Neut
168,Pri srebrnem novčiču,Sing,Masc
169,Apostolska nunciatura na Trinidadu in Tobagu,Sing,Fem
170,Veleposlaništvo Republike Slovenije v Iranu,Sing,Fem
171,Veterinarska fakulteta v Sarajevu,Sing,Neut
172,Fakulteta naravoslovnih matematičnih znanosti in kineziologije v Splitu,Sing,
173,Univerza v Vilni,Sing,Fem
174,Rimska univerza La Sapienza,Sing,Fem
175,Geografska fakulteta v Moskvi,Sing,Neut
176,Novi list (Reka),Sing,Masc
177,Konservatorium Wien,Sing,Masc
178,Filmski festival v Cannesu,Sing,Masc
179,Univerza Bocconi,Sing,Fem
180,Fakulteta islamskih ved v Sarajevu,Plur,Fem
181,Naravoslovno-matematična fakulteta v Zagrebu,Sing,Neut
182,Vojaški ordinariat Nizozemske,Sing,Masc
183,Vatikanska knjižnica,Sing,Fem
184,Makedonska akademija znanosti in umetnosti,Sing,Fem
185,Apostolska nunciatura na Šrilanki,Sing,Fem
186,Veleposlaništvo Republike Slovenije na Slovaškem,Sing,Fem
187,Škofija Montréal,Sing,Masc
188,"Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanije SDS za predčasne volitve poslancev v Državni zbor 2018",Sing,Fem
189,Apostolska nunciatura v Kirgizistanu,Sing,Fem
190,Elektrotehniška fakulteta v Osijeku,Sing,Masc
191,Konzulat Republike Slovenije v Saint-Étiennu,Sing,Masc
192,Apostolska nunciatura v Republiki Kongo,Sing,Fem
193,Gradbena fakulteta v Mostarju,Sing,Neut
194,Stalno arbitražno sodišče,Sing,Neut
195,Pravna fakulteta v Banja Luki,Sing,Neut
196,"Egipčanski muzej, Berlin",Sing,Masc
197,Geotehniška fakulteta v Varaždinu,Sing,Masc
198,Fakulteta za javno upravo v Sarajevu,Sing,Fem
199,Univerza v Kielu,Sing,Masc
200,Komisija za peticije Državnega zbora Republike Slovenije,Plur,Masc
201,Tekstilno–tehnološka fakulteta v Zagrebu,Sing,Masc
202,Medicinska fakulteta v Würzburgu,Sing,Neut
203,Preiskovalna komisija Državnega zbora Republike Slovenije o vpletenosti in odgovornosti nosilcev javnih funkcij v zvezi z najdbo orožja na mariborskem letališču ter v zvezi z opremo in orožjem v skladišču Ložnica,Plur,
204,"Sodna palača, Bruselj",Sing,Masc
205,Apostolska nunciatura v Združenem kraljestvu,Sing,Fem
206,Skupina Coimbra,Sing,Fem
207,"Odbor za notranjo politiko,",Sing,Masc
208,javno upravo in pravosodje Državnega zbora Republike Slovenije,Sing,Neut
209,Pedagoška fakulteta v Zagrebu,Sing,Masc
210,Palača Golestan,Sing,Masc
211,Komunistična univerza narodnih manjšin zahoda,Sing,Fem
212,Odbor za obrambo Državnega zbora Republike Slovenije,Sing,Masc
213,Agronomska fakulteta v Sarajevu,Sing,Neut
214,Kraljeva knjižnica Nizozemske,Sing,Fem
215,Slovaška akademija znanosti,Sing,Fem
216,Odbor za znanost in tehnologijo Državnega zbora Republike Slovenije,Sing,Masc
217,Ekonomska fakulteta v Sarajevu,Sing,Neut
218,Securitate,,
219,Fakulteta za socialne znanosti na Dunaju,Sing,Fem
220,Organizacija dogovora o skupni varnosti,Sing,Fem
221,Apostolska nunciatura v Indiji,Sing,Fem
222,Intendantska oficirska šola JLA,Sing,Fem
223,7. državni zbor Republike Slovenije,Plur,Fem
224,Konzulat Republike Slovenije v Mendozi,Sing,Masc
225,Institut polytechnique des sciences avancées,,
226,Biblioteca Marciana,Sing,Fem
227,Apostolska nunciatura v Monaku,Sing,Fem
228,Univerza v Sieni,Sing,Fem
229,Filozofska fakulteta v Würzburgu II,,
230,"Odbor za zdravstvo, delo, družino in socialno politiko Državnega zbora Republike Slovenije",,
231,Agronomska fakulteta v Osijeku,Sing,Neut
232,Jad Vašem,Sing,
233,Komisija po Zakonu o preprečevanju korupcije Državnega zbora Republike Slovenije,Sing,
234,Vojaški ordinariat Brazilije,Sing,
235,Vojaška akademija Frunze,Sing,Fem
236,Pehotno vojaško učilišče JLA,Sing,Fem
237,Apostolska nunciatura na Slonokoščeni obali,Plur,Masc
238,Univerza v Mostarju,Sing,Neut
239,"Mestni arheološki muzej, Bologna",Sing,Fem
240,Vojaški ordinariat Poljske,Sing,Masc
241,Avguštinej,,
242,Medicinska fakulteta v Mostarju,Sing,Neut
243,Univerza v Lillu,Sing,Masc
244,Naravoslovno-matematična fakulteta v Banja Luki,Sing,Neut
245,Nemško matematično društvo,Sing,Fem
246,Fakulteta za zgodovinske in umetnostne vede v Münchnu,Sing,Fem
247,Fakulteta za fizikalno kemijo v Moskvi,Sing,Fem
248,Goriška Mohorjeva družba,Sing,Fem
249,Medicinska fakulteta v Kölnu,Sing,Neut
250,Apostolska nunciatura v Dominiki,Sing,Fem
251,Tri srca,Sing,Fem
252,"Palača Zecca, Benetke",Sing,
253,Univerza Friedricha Schillerja v Jeni,Sing,Fem
254,Odbor za lokalno samoupravo in regionalni razvoj Državnega zbora Republike Slovenije,Sing,Masc
255,Fizikalna fakulteta v Moskvi,Sing,Fem
256,Svetovni program za hrano,Sing,
257,Konzulat Republike Slovenije v Haifi,Sing,Masc
258,Astronomsko-geofizikalni observatorij Golovec,Sing,Masc
259,Univerza Juraja Dobrile v Pulju,Plur,Fem
260,Preiskovalna komisija o preiskavi politične odgovornosti posameznih nosilcev javnih funkcij v izvršnih svetih občin in republike za razkroj gospodarskega sistema Iskre,Sing,Fem
261,Generalštab Oboroženih sil Republike Hrvaške,Plur,Fem
262,Apostolska nunciatura v Bolgariji,Sing,Fem
263,Obnova,Sing,Fem
264,(časopis),,
265,Apostolska nunciatura v Azerbajdžanu,Sing,Fem
266,Apostolska nunciatura v Panami,Sing,Fem
267,Univerza v Würzburgu,Sing,Masc
268,Fakulteta za znanost o prsti v Moskvi,Sing,Fem
269,Odbor za nadzor proračuna in drugih javnih financ Državnega zbora Republike Slovenije,Sing,Masc
270,Pobuda za sodelovanje v jugovzhodni Evropi,Sing,Neut
271,Vrhovno državno tožilstvo Republike Slovenije,Sing,Neut
272,Narodna in univerzitetna knjižnica v Zagrebu,Sing,Fem
273,Medicinska fakulteta v Osijeku,Sing,Neut
274,Bildindex der Kunst und Architektur,Sing,Masc
275,Podiplomska šola za inovativne posle v Moskvi,Sing,Fem
276,Strojna fakulteta v Banja Luki,Sing,Neut
277,BMEWS,Sing,Masc
278,Nikkei 225,Plur,
279,Podiplomska šola za javno upravo v Moskvi,Sing,Fem
280,Abbey Theatre,Sing,Masc
281,Vojni muzej v Budimpešti,Sing,Fem
282,"Haus der Natur, Salzburg",Sing,Masc
283,Konzulat Republike Slovenije v Innsbrucku,Sing,Masc
284,Odbor za spremljanje uresničevanja Resolucije o izhodiščih zasnove nacionalne varnosti Republike Slovenije Državnega zbora Republike Slovenije,Sing,Masc
285,Šola za novejše družbene vede v Moskvi,Sing,Fem
286,Filološka fakulteta v Moskvi,Sing,Fem
287,Univerza v Bambergu,Sing,Masc
288,Krška škofija,Sing,Fem
289,Artilerijsko vojaško učilišče JLA,Sing,Fem
290,Fakulteta za poslovno upravo v Münchnu,Sing,Fem
291,Papeška univerza Gregoriana,Sing,Fem
292,Rudarsko-geološko-naftna fakulteta v Zagrebu,Sing,Masc
293,Izobraževalno-rehabilitacijska fakulteta v Zagrebu,Sing,Neut
294,École nationale d'administration,Sing,Masc
295,Univerza za glasbo in uprizoritvene umetnosti Gradec,Sing,Fem
296,"Odbor za kulturo, šolstvo, mladino, znanost in šport Državnega zbora Republike Slovenije",Sing,Fem
297,3. državni zbor Republike Slovenije,Plur,Fem
298,Univerza v Parizu,Sing,Masc
299,Gozdarska fakulteta v Zagrebu,Sing,Neut
300,Državno pravobranilstvo Republike Slovenije,Sing,Neut
301,Center 505,Sing,Masc
302,Fakulteta za znanost o materialih v Moskvi,Sing,Fem
303,Apostolska nunciatura v Lihtenštajnu,Sing,Fem
304,Apostolska nunciatura na Japonskem,Sing,Fem
305,Vojaška pomorska strojna oficirska šola JLA,Sing,Fem
306,Ekonomska fakulteta v Würzburgu,Sing,Neut
307,Univerza v Leobnu,Sing,Masc
308,Univerza na Reki,Sing,Fem
309,Apostolska nunciatura v Kostariki,Sing,Fem
310,Združenje poljskih električarjev,Plur,Neut
311,Pehotna oficirska šola JLA,Sing,Fem
312,Konzulat Republike Slovenije v Minas Geraisu,Sing,Masc
313,"Odbor za visoko šolstvo, znanost in tehnološki razvoj Državnega zbora Republike Slovenije",Sing,Masc
314,Univerza v Tokiu,Sing,Masc
315,Narodna knjižnica Koreje,Sing,
316,Fakulteta za nadaljnje izobraževanje v Moskvi,Sing,Neut
317,Strojna fakulteta v Sarajevu,Sing,Neut
318,Narodna knjižnica Grčije,Sing,Fem
319,SISDE,Plur,Fem
320,Apostolska nunciatura na Danskem,Sing,Fem
321,Odbor za finance in kreditno-monetarno politiko Državnega zbora Republike Slovenije,Sing,Masc
322,Pontifícia Universidade Católica de Minas Gerais,Sing,Fem
323,Apostolska nunciatura v Ekvatorialni Gvineji,Sing,Fem
324,Apostolska nunciatura v Urugvaju,Sing,Fem
325,Umetnostna akademija v Splitu,Sing,Fem
326,Académie française,,
327,Medicinska fakulteta v Sarajevu,Sing,Neut
328,Izobraževalno-rehabilitacijska fakulteta v Tuzli,Sing,Neut
329,Fakulteta za telesno vzgojo in šport v Banja Luki,Sing,Fem
330,Kineziološka fakulteta v Zagrebu,Sing,Masc
331,Sigurimi,,
332,Apostolska nunciatura v Indoneziji,Sing,Fem
333,Fakulteta za bioinženiring in bioinformatiko v Moskvi,Sing,Masc
334,Univerza v Dubrovniku,Sing,Masc
335,Ustavna komisija Državnega zbora Republike Slovenije,Sing,Fem
336,Organizacija za prepoved kemičnega orožja,Sing,Fem
337,Korean Broadcasting System,Sing,Masc
338,Tržna vrata Mileta,Sing,Fem
339,"Knjižnica Kolidža svete Trojice, Dublin",Sing,Fem
340,Hiša evropske zgodovine,Sing,Fem
341,Gozdarska fakulteta v Sarajevu,Sing,Neut
342,Apostolska nunciatura v Siriji,Sing,Fem
343,Apostolska nunciatura v Albaniji,Sing,Fem
344,"Sodna palača, München",Sing,Masc
345,Konzulat Republike Slovenije v Manili,Sing,Masc
346,5. državni zbor Republike Slovenije,Plur,Fem
347,Pravna fakulteta v Münchnu,Sing,Masc
348,Apostolska nunciatura v Ekvadorju,Sing,Fem
349,Apostolska nunciatura v Hondurasu,Sing,Fem
350,Apostolska nunciatura v Koreji,Sing,Fem
351,Apostolska nunciatura v Avstraliji,Sing,Fem
352,Arhitekturno-gradbena fakulteta v Banja Luki,Sing,Masc
353,Apostolska nunciatura v Etiopiji,Sing,Fem
354,Apostolska nunciatura na Madagaskarju,Sing,Fem
355,Univerza v Augsburgu,Sing,Masc
356,Veleposlaništvo Republike Slovenije v Ruski federaciji,Sing,Fem
357,Fakulteta za družbene vede v Münchnu,Sing,Fem
358,Protiletalska artilerijska oficirska šola JLA,Sing,Fem
359,Apostolska nunciatura na Cipru,Sing,Fem
360,Ekonomska fakulteta v Moskvi,Sing,Neut
361,4. državni zbor Republike Slovenije,Plur,Fem
362,Tbilisijski,,
363,metro,,
364,SISMI,,
365,Fakulteta za biologijo v Münchnu,Sing,Fem
366,Veleposlaništvo Republike Slovenije na Madžarskem,Sing,Fem
367,Costantino Patrizi Naro,,
368,1. državni zbor Republike Slovenije,Plur,Fem
369,Meddržavno sodišče,Sing,Neut
370,Francoska akademija znanosti,Sing,Fem
371,Komisija za evropske zadeve Državnega zbora Republike Slovenije,Sing,Fem
372,Vojaški ordinariat Italije,Sing,
373,"Komisija za volitve, imenovanja in administrativne zadeve Državnega zbora Republike Slovenije",Plur,Fem
374,Odbor za promet Državnega zbora Republike Slovenije,Sing,Masc
375,Papeška akademija znanosti,Sing,Fem
376,Jordanski arheološki muzej,Sing,
377,Evropsko sodišče za človekove pravice,Sing,Neut
378,Vojaškopomorsko tehniško vojaško učilišče JLA,Sing,Fem
379,Odbor za finance in monetarno politiko Državnega zbora Republike Slovenije,Sing,Masc
380,Absolom,,
381,(prostozidarska loža),Sing,Fem
382,Državna duma,Sing,Fem
383,Karlova univerza v Pragi,Sing,Fem
384,Fakulteta za elektrotehniko v Tuzli,Sing,Fem
385,Univerza v Banja Luki,Plur,Masc
386,Fakulteta organizacije in informatike v Varaždinu,Plur,Fem
387,Veleposlaništvo Republike Slovenije v Črni gori,Sing,Fem
388,Pravna fakulteta v Splitu,Sing,Masc
389,Konzulat Republike Slovenije v Vancouvru,Sing,Masc
390,Komisija za nadzor nad delom varnostnih in obveščevalnih služb Državnega zbora Republike Slovenije,Sing,Masc
391,Generalni konzulat Republike Slovenije v Sydneyju,Sing,Masc
392,Komisija za žensko politiko Državnega zbora Republike Slovenije,Sing,Fem
393,Izraelski muzej,Sing,
394,Nacionalni komite Kraljevine Jugoslavije,Plur,
395,Filološko-kulturološka fakulteta na Dunaju,Sing,Neut
396,Veleposlaništvo Republike Slovenije na Hrvaškem,Sing,Fem
397,Semenišče Leopoldinum,Sing,Masc
398,Informacijska služba Združenih narodov na Dunaju,Sing,Fem
399,Komisija za nadzor obveščevalnih in varnostnih služb Državnega zbora Republike Slovenije,Sing,Masc
400,Jezuitski kolegij v Gradcu,Sing,Masc
401,Konzulat Republike Slovenije v Erevanu,Sing,Masc
402,Narodni tehnični muzej (Praga),,
403,Apostolska nunciatura v Zimbabveju,Sing,Fem
404,Zgodovinski arhiv Ljubljana,Sing,Fem
405,Veleposlaništvo Republike Slovenije v Avstriji,Sing,Fem
406,Univerza v Rostocku,Sing,Masc
407,Apostolska nunciatura v Ruski federaciji,Sing,Fem
408,NATO,Sing,Masc
409,Pedagoška fakulteta v Osijeku,Sing,Masc
410,Ekonomska fakulteta v Tuzli,Sing,Neut
411,Narodni zgodovinski muzej (Albanija),,
412,Apostolska nunciatura v Boliviji,Sing,Fem
413,Komisija za lokalno samoupravo Državnega zbora Republike Slovenije,Sing,Fem
414,Kraljeva vojaška akademija (Belgija),Sing,Fem
415,Fakulteta za kulturologijo v Celovcu,Sing,Fem
416,Narodna knjižnica Češke republike,Sing,Fem
417,Seznam šol v Gorici,Sing,
418,Knafljeva ustanova,Sing,Fem
419,Geodetska fakulteta v Zagrebu,Sing,Neut
420,Francoska narodna knjižnica,Sing,Fem
421,Srednja vojaškoglasbena šola JLA,Sing,Fem
422,Glasbena akademija v Zagrebu,Sing,Fem
423,Eduardo Martínez Somalo,Sing,Fem
424,Cesarska zakladnica,Sing,Fem
425,Center 501,Sing,Masc
426,Evangeličanska teološka fakulteta v Münchnu,Sing,Fem
427,Nadškofija Montréal,Sing,Masc
428,Comedy Central (Poljska),Sing,Masc
429,Univerza Grenoble Alpes,Plur,Fem
430,Komisija za peticije ter za človekove pravice in enake možnosti Državnega zbora Republike Slovenije,Plur,Masc
431,Univerza v Splitu,Sing,Masc
432,"Odbor za kulturo, šolstvo in šport Državnega zbora Republike Slovenije",Sing,Fem
433,Preiskovalna komisija o ugotavljanju zlorab v slovenskem bančnem sistemu ter ugotavljanju vzrokov in odgovornosti za že drugo sanacijo bančnega sistema v samostojni Sloveniji,Sing,Fem
434,Stomatološka fakulteta v Sarajevu,Sing,Masc
435,Agronomska fakulteta v Zagrebu,Sing,Neut
436,Fakulteta za interdisciplinarno raziskovanje in nadaljnje šolanje v Celovcu,Sing,Neut
437,Centro Federal de Educação Tecnológica de Minas Gerais,Sing,Masc
438,Društvo Ketani,Sing,
439,Branko Janc,Plur,Neut
440,Apostolska nunciatura v Džibutiju,Sing,Fem
441,Odbor za gospodarstvo Državnega zbora Republike Slovenije,Sing,Masc
442,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Sing,Masc
443,École nationale des ponts et chaussées,Sing,Masc
444,"Stolica za slovenski jezik, Licej v Gradcu",Sing,
445,"Cabildo, Buenos Aires",,
446,Veleposlaništvo Republike Slovenije v Belgiji,Sing,Fem
447,Katoliška teološka fakulteta na Dunaju,Sing,Fem
448,"Fakulteta za matematiko, informatiko in statistiko v Münchnu",Sing,Masc
449,239. fizikalno-matematični licej,Plur,
450,Pravna fakulteta v Zagrebu,Sing,Masc
451,Katoliška teološka fakulteta v Splitu,Sing,Fem
452,Šola za prevajanje in tolmačenje v Moskvi,Sing,Neut
453,Pomorsko vojaško učilišče JLA,Sing,Fem
454,Papeški slovenski zavod v Rimu,Sing,Masc
455,Seminar Maxa Reinhardta,Sing,Fem
456,Konzulat Republike Slovenije v Salzburgu,Sing,Masc
457,Agronomska fakulteta v Banja Luki,Sing,Neut
458,Češki hokejski hram slavnih,Sing,
459,Apostolska nunciatura na Kubi,Sing,Fem
460,Organizacija držav izvoznic nafte,Sing,Fem
461,Šola za televizijo v Moskvi,Sing,Fem
462,Univerza v Tuzli,Sing,Fem
463,Slovaška narodna knjižnica,Sing,Fem
464,Filozofska fakulteta v Tuzli,Sing,Neut
465,Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi,Sing,Fem
466,Univerza v Kjotu,Sing,Masc
467,Veleposlaništvo Republike Slovenije pri Svetem sedežu,Sing,Fem
468,Univerza PSL,Sing,Masc
469,Apostolska nunciatura v Keniji,Sing,Fem
470,Frontex,,
471,Fakulteta za ekonomijo in informatiko v Celovcu,Sing,Fem
472,Apostolska nunciatura v Senegalu,Sing,Fem
473,Apostolska nunciatura v Nemčiji,Sing,Fem
474,Medicinska fakulteta v Münchnu,Sing,Neut
475,Apostolska nunciatura v Venezueli,Sing,Fem
476,Apostolska nunciatura v Gruziji,Sing,Fem
477,Vojaški ordinariat Kanade,Sing,Masc
478,Apostolska nunciatura v Bahrajnu,Sing,Fem
479,Intendantsko vojaško učilišče JLA,Sing,Fem
480,Fakulteta za kemijsko tehnologijo v Splitu,Sing,Fem
481,Veleposlaništvo Republike Slovenije na Irskem,Sing,Fem
482,Pomorska fakulteta v Splitu,Sing,Neut
