,entity,number,gender
62,Ахундова,Sing,Fem
63,Всероссийский научно-исследовательский институт масличных культур им.,Sing,Masc
64,В. С.,,
65,Пустовойта,Sing,Fem
66,Белорусская социалистическая грамада,Sing,Fem
67,Красные рубашки (США),Plur,Fem
68,Днепровский драматический театр имени Т.,Plur,
69,Шевченко,Sing,Fem
70,Олимпийский комитет Сербии,Sing,Masc
71,Лондонское математическое общество,Sing,Neut
72,Skate Canada (спортивная федерация),,
73,Международная гидрографическая организация,Sing,Fem
74,Равенство (масонская ложа),Sing,Neut
75,Университет Юты,Sing,
76,Славянский институт АН ЧР,Sing,Masc
77,Поалей Цион,Sing,Masc
78,Национал-демократическая партия Чехословакии,Sing,Fem
79,Омладина,,
80,"Джиханер, Ильхан",Sing,Masc
81,Ярославское естественно-историческое общество,Sing,Neut
82,Совет по изучению производительных сил,Sing,
83,Общество изучения межпланетных сообщений,Sing,Neut
84,Университет Нагасаки,Sing,
85,Статистическое бюро Хорватии,Sing,Neut
86,Маладняк,Sing,Masc
87,"Эльгюн, Накие",Sing,Masc
88,Императорское человеколюбивое общество,Sing,Neut
89,Египетская коммунистическая партия,Sing,Fem
90,Главная палата мер и весов,Sing,Fem
91,Курганский научно-исследовательский институт сельского хозяйства,Sing,Masc
92,Льежская консерватория,Sing,Fem
93,Университет Аояма,Sing,
94,Партия Гадар,Sing,Fem
95,Левенте (организация),Plur,
96,Санкт-Петербургское общество естествоиспытателей,Sing,Neut
97,Народный комиссариат продовольствия СССР,Sing,Masc
98,Либерецкий зоопарк,Sing,Masc
99,СоюзДорНИИ,Plur,Masc
100,Швейцарский федеральный институт интеллектуальной собственности,Sing,Masc
101,Санкт-Петербургский комитет грамотности,Sing,Masc
102,Тунмэнхой,Sing,Masc
103,Арнемский филармонический оркестр,Sing,Masc
104,Великий восток Бельгии,Sing,Masc
105,Физическое общество имени Лебедева,Sing,Neut
106,Демократы войны,Plur,
107,Чешско-словацкое общество (Братислава),Sing,Neut
108,Утоли моя печали (община),Plur,
109,Союз сибиряков,Plur,Masc
110,Общество искусства и литературы,Plur,Neut
111,Ударный отряд «Адольф Гитлер»,Sing,Masc
112,Международная автомобильная федерация,Sing,Fem
113,Международная лига религиозных социалистов,Sing,Fem
114,Любительская боксёрская ассоциация Англии,Sing,Fem
115,Библиотека имени Максимилиана Волошина,Sing,Fem
116,Умеренная коалиционная партия,Sing,Fem
117,Общество друзей чернокожих,Plur,Masc
118,Камчатская краевая научная библиотека имени С.,Sing,Fem
119,П. Крашенинникова,Sing,Fem
120,Шведская ассоциация ремесленников,Sing,Fem
121,Социалистическая партия Румынии,Sing,Fem
122,Польская социалистическая партия,Sing,Fem
123,Институт проблем эндокринной патологии имени В. Я.,Sing,Masc
124,Данилевского НАМН Украины,Sing,Masc
125,Всероссийское общество охраны природы,Sing,Neut
126,Геологическая служба США,Sing,Fem
127,Всеанглийский клуб лаун-тенниса и крокета,Sing,Masc
128,Великая ложа Италии,Sing,Fem
129,Мемориальный институт Баттеля,Sing,Masc
130,Норвежское общество,Sing,Neut
131,КОСАРТОП,Sing,Masc
132,Институт Франклина,,
133,Российская академия наук,Sing,Fem
134,Армянский национальный комитет Америки,Sing,Masc
135,Алаш (партия),Sing,Masc
136,Международный союз конькобежцев,Sing,Masc
137,Бостонская публичная библиотека,Sing,Fem
138,Независимая социал-демократическая партия Германии,Sing,Fem
139,Национальная библиотека имени Оссолинских,Sing,Fem
140,Opus Dei,,
141,Международная федерация кинопрессы,Sing,Fem
142,Народная партия (Болгария),Sing,Fem
143,Королевский автомобильный клуб,Plur,Fem
144,Тульский академический театр драмы,Sing,Masc
145,Немецкая консервативная партия,Sing,Fem
146,Томский областной драматический театр,Sing,Masc
147,Лейбористская партия (Мальта),Sing,Fem
148,Фольклорное общество,Sing,Neut
149,Латвийская национальная библиотека,Sing,Fem
150,Гербарий БИН РАН,Sing,Masc
151,"Орхон, Орхан Сейфи",,
152,Международная федерация парусного спорта,Sing,Fem
153,Радио и телевидение Сербии,Sing,Neut
154,Самарский театр драмы имени М. Горького,Sing,Masc
155,Олимпийский комитет Уругвая,Sing,Masc
156,Финская академия науки и литературы,Sing,Fem
157,Французская коммунистическая партия,Sing,Fem
158,Атомэнергопроект (Санкт-Петербург),Sing,
159,Комиссия по охране памятников старины и искусства,Sing,Fem
160,Публичная библиотека штата Санта-Катарина,Sing,Fem
161,Московское общество любителей астрономии,Sing,Neut
162,Харьковский театр оперы и балета имени Н. В.,Sing,Masc
163,Лысенко,Sing,Fem
164,Московское нумизматическое общество,Sing,Neut
165,Великая ложа,Sing,Fem
166,Астрея,Sing,Fem
167,Костанайский областной русский драматический и кукольный театр,Sing,Masc
168,"Атач, Хасан Фехми",,
169,Абхазский государственный драматический театр,Sing,Masc
170,Народная радикальная партия,Sing,Fem
171,Болгарский олимпийский комитет,Sing,Masc
172,Gideons International,,
173,Бюро национальной статистики АСПР РК,Sing,Fem
174,Австрийский олимпийский комитет,Sing,Masc
175,Национальная академия наук Украины,Sing,Fem
176,Американская ассоциация юристов,Sing,Fem
177,Шубравцы,Plur,Masc
178,Лузитанская Аркадия,Sing,Fem
179,Русский охотничий клуб,Plur,Fem
180,Александринский театр,Sing,Masc
181,Монастырь мхитаристов в Вене,Sing,Masc
182,Токийская фондовая биржа,Sing,Fem
183,Хорватская партия права,Sing,Fem
184,Ватиканская аптека,Sing,Fem
185,НАМИ,Plur,Neut
186,Польское геологическое общество,Sing,Neut
187,Edition,,
188,Peters,,
189,Международная ассоциация спортивной прессы,Sing,Fem
190,"Хызаль, Сениха Хафыз",,
191,Итальянское географическое общество,Sing,Neut
192,Juki,,
193,Геральдическое общество во Львове,Sing,Neut
194,Коммунистическая партия Нидерландов,Sing,Fem
195,Партия Колорадо (Уругвай),,
196,Украинский национально-государственный союз,Sing,Masc
197,Арменакан,Sing,Masc
198,Киевский научно-исследовательский институт судебных экспертиз,Sing,Masc
199,Калев (спортивное общество),Sing,Masc
200,Санкт-Петербургский научно-исследовательский институт лесного хозяйства,Sing,Masc
201,Иркутский драматический театр имени Н. П.,Sing,Masc
202,Охлопкова,Sing,
203,Институт художественной культуры (Ленинград),Plur,Fem
204,Партия свараджа,Sing,Fem
205,Оранжевый орден,Sing,Masc
206,Монгольская народная партия,Sing,Fem
207,Министерство информационных и телекоммуникационных технологий Ирана,Sing,Neut
208,Партия свободомыслящих,Sing,Fem
209,Sumitomo Realty & Development,,
210,Национально-демократическая партия Польши,Sing,Fem
211,Русский народный союз имени Михаила Архангела,,
212,Кармелитки Миссионерки Святой Терезы Младенца Иисуса,,
213,Государственный институт речевой культуры,Sing,Masc
214,Театр Э. Т. А.,,
215,Гофмана,Sing,Fem
216,Гонконгская фондовая биржа,Sing,Fem
217,Международная федерация хоккея на траве,,
218,Геологический институт РАН,Sing,Masc
219,Постоянная палата международного правосудия,Sing,Fem
220,ASTM International,,
221,Сан-Маринская фашистская партия,Sing,Fem
222,Энтомологическое общество Франции,Sing,Neut
223,Центральный научно-исследовательский геологоразведочный институт,Plur,
224,Украинская демократическо-радикальная партия,Sing,Fem
225,Укоопсоюз,,
226,Выборгский гофгерихт,Sing,Masc
227,Академия наук и литературы в Майнце,,
228,Чувашский драматический театр имени К. В.,Sing,Masc
229,Иванова,Sing,Fem
230,Всеукраинский учительский союз,Sing,Masc
231,Младороссы,Plur,Masc
232,Национал-либеральная партия (Великобритания),Sing,Fem
233,Союзпечать,,
234,Ассоциация рабочих Лихтенштейна,Sing,Fem
235,Хорватское радио и телевидение,Sing,Neut
236,Великая земельная ложа вольных каменщиков Германии,Sing,Fem
237,Великая ложа вольных и принятых каменщиков Турции,Sing,Fem
238,Армия спасения,Sing,Neut
239,Абрамцевский художественный кружок,Sing,Masc
240,Центральный научно-исследовательский институт химии и механики,Plur,
241,Pioneer,,
242,Corporation,,
243,Социал-демократическая партия Германии,Sing,Fem
244,Мексиканская академия языка,Sing,Fem
245,Саратовская областная библиотека для детей и юношества имени А. С.,,
246,Пушкина,Sing,Fem
247,Библиотека Франклина,Sing,Fem
248,Верховный суд Исландии,Sing,Masc
249,Центролев,Sing,Masc
250,Академия питания и диетологии,Plur,Neut
251,Всеиндийская мусульманская лига,Sing,Fem
252,Эзра (молодёжная организация),Sing,Fem
253,Американская федерация труда,,
254,Вашингтонский акварельный клуб,Sing,Masc
255,Воскресение (партия),Sing,Neut
256,Монетный двор США,Sing,Masc
257,Международный союз теоретической и прикладной механики,Sing,Masc
258,Институт мирового хозяйства и мировой политики АН СССР,Plur,
259,Ха-Шомер,Sing,Masc
260,Русское библиографическое общество,Sing,Neut
261,Третье отделение,Sing,Neut
262,Королевское общество Канады,Sing,Neut
263,Лейбористская партия (Ирландия),Sing,Fem
264,Международный союз теоретической и прикладной химии,Sing,Masc
265,Лондонская и Западно-Европейская епархия,Sing,Fem
266,Тбилисский государственный армянский драматический театр имени П. Адамяна,Sing,Masc
267,Национальная партия Шотландии,Sing,Fem
268,Олимпийский комитет Китайской Народной Республики,Sing,Masc
269,Хорватский комитет,Sing,Masc
270,"Министерство образования, культуры и науки",Sing,Neut
271,Нидерландов,,
272,Петергофское викариатство,Sing,Neut
273,Институт механики имени С. П.,Plur,
274,Тимошенко НАН Украины,Sing,Fem
275,Свободный польский университет,Sing,
276,Американский народно-революционный альянс,Sing,Masc
277,Азиатская компания,Sing,Fem
278,Западно-Сибирский отдел Императорского русского географического общества,Sing,Masc
279,Казанский большой драматический театр имени В.,Sing,Masc
280,И.,,
281,Качалова,Sing,Neut
282,Республиканская молодёжная библиотека имени,Sing,Fem
283,Джафара Джаббарлы,Sing,Fem
284,Лимбургский симфонический оркестр,Sing,Masc
285,Театр юных зрителей имени А. А.,,
286,Брянцева,Sing,Fem
287,Японский институт эсперанто,Plur,
288,Федерация конькобежного спорта Японии,Sing,Masc
289,Институт биохимии имени А. В.,Plur,
290,Палладина,Sing,Fem
291,Эстонский драматический театр,Sing,Masc
292,Немецкий альпийский союз,Sing,Masc
293,Коммунистическая партия Кубы,Sing,Fem
294,Национальная центральная библиотека Рима,Sing,Fem
295,"Бозкурт, Махмут Эсат",Plur,
296,Красные братья,Plur,Neut
297,Московское общество сельского хозяйства,Sing,Neut
298,Популистская партия (США),Sing,Fem
299,Государственный секретариат Ватикана,Sing,Masc
300,Союз городов (организация),Plur,Masc
301,Центральный государственный архив Кировской области,Sing,Masc
302,Украинская партия социалистов-революционеров (боротьбистов),Sing,Fem
303,Союз русского народа,Sing,Masc
304,Международная федерация транспортных рабочих,Sing,Fem
305,Сан-маринская коммунистическая партия,Sing,Fem
306,Бетховенский оркестр,Sing,Masc
307,Датский орден масонов,Sing,Masc
308,Красный интернационал профсоюзов,Sing,Masc
309,Олимпийский комитет Финляндии,Sing,Masc
310,Фабрики П. А.,,
311,Соловьева,Sing,Fem
312,Quatuor,,
313,Coronati,,
314,Новая генерация (литературная организация),Sing,Fem
315,Военная коллегия,Sing,Fem
316,Первое Грозненское нефтепромышленное товарищество,Sing,Neut
317,Федерация скаутов Израиля,Plur,Neut
318,"Кёпрюлю, Мехмет Фуат",Sing,
319,Домовина (организация),Sing,Fem
320,Тори (политическая партия),Sing,Fem
321,Королевский оперный театр (Валлетта),Sing,Masc
322,Торгово-промышленная партия Российской империи,Sing,Fem
323,Санкт-Петербургский академический театр имени,Sing,Masc
324,Ленсовета,Sing,Fem
325,Болгарский революционный центральный комитет,Sing,Masc
326,Театр Сан-Джованни-э-Паоло,Sing,Masc
327,Беседа любителей русского слова,Sing,Fem
328,Самтрест,Sing,Masc
329,Пармская консерватория имени Арриго Бойто,Sing,Masc
330,Shriners,,
331,Чёрное знамя (организация),Sing,Neut
332,Тувинская народно-революционная партия,Sing,Fem
333,Энтомологическое общество Вашингтона,Sing,Neut
334,Институт Анри Пуанкаре,Plur,
335,Верховный суд Испании,Sing,Masc
336,Эконометрическое общество,Sing,Neut
337,Казахский научно-исследовательский ветеринарный институт,Sing,Masc
338,Академия знаний,Plur,Neut
339,Олимпийский комитет Индии,Sing,Masc
340,Литовская христианско-демократическая партия,Sing,Fem
341,Бешикташ (спортивное общество),Sing,Masc
342,Архив города Севастополя,Sing,Masc
343,Российское историческое общество,Sing,Neut
344,Белая лига,Sing,Fem
345,Жар-цвет (творческое объединение),Sing,
346,Нидерландское энтомологическое общество,Sing,Neut
347,Осакская биржа ценных бумаг,Sing,Fem
348,Институт Пастера (Сан-Паулу),Plur,
349,Финно-угорское общество,Sing,Neut
350,Коммунистическая партия Новой Зеландии,Sing,Fem
351,Украинская национальная партия,Sing,Fem
352,Баварская академия наук,Sing,Fem
353,Союз 17 октября,Sing,Masc
354,Союз молодых социалистов и социалисток в СДПГ,Plur,
355,"Бёчек, Мухиттин",,
356,Атенеум (Мельбурн),Plur,
357,Медицинское общество Массачусетса,Sing,Neut
358,Государственный институт истории искусств,Sing,Masc
359,Коммунистический союз молодёжи Башкортостана,Sing,Masc
360,Археографические комиссии,Plur,Fem
361,Ниппон,Sing,Masc
362,Пэйпер Крэйнс,Sing,Masc
363,Папский институт арабских и исламских исследований,Sing,Masc
364,"Сайдам, Рефик",Sing,Masc
365,Немецкая киноакадемия,Sing,Fem
366,Le Droit Humain,,
367,Закавказские мусульманские духовные правления,Plur,Neut
368,Палангский ботанический парк,Sing,Masc
369,Украинская партия социалистов-революционеров,Sing,Fem
370,Тихоокеанская научная ассоциация,Sing,Fem
371,Американская академия искусств и наук,Sing,Fem
372,Национальная библиотека имени А. С.,,
373,Пушкина Республики Мордовия,,
374,Федерация объединений советских писателей,Plur,Neut
375,Белградская фондовая биржа,Sing,Fem
376,Польское ортопедическое и травматологическое общество,Sing,Neut
377,Американская карпаторосская православная епархия,Sing,Fem
378,Партия социалистов-революционеров,Sing,Fem
379,Епархия Лунгро,Sing,Fem
380,Еврейский комиссариат,Sing,Masc
381,Олимпийский комитет Аргентины,Sing,Masc
382,Гринвейлский крикетный клуб,Sing,Masc
383,Русское музыкальное общество,Sing,Neut
384,Дом искусств,,
385,Гонкуровская академия,Sing,Fem
386,Московское психологическое общество,Sing,Neut
387,Двухсполовинный интернационал,Sing,Masc
388,Народный комиссариат почт и телеграфов СССР,Plur,
389,Нижегородский театр драмы имени М. Горького,Sing,Masc
390,Таврическая учёная архивная комиссия,Sing,Fem
391,Институт Кюри,Plur,
392,Экспедиция кремлёвского строения,Sing,Neut
393,Итальянская фондовая биржа,Sing,Fem
394,Вулканическая школа,Plur,Masc
395,Архиепархия Хайдарабада,Sing,Fem
396,Немецкий клуб (Москва),Sing,Masc
397,Институт Хюбрехта,Plur,
398,American Orchid,,
399,Society,,
400,Либеральная партия Великобритании,Sing,Fem
401,Библиотека Льюиса Раунда Уилсона,Sing,Fem
402,Михайловский театр,Sing,Masc
403,Всероссийский НИИ экономики сельского хозяйства,Plur,Masc
404,Международный комитет Красного Креста,Sing,Masc
405,Первый украинский театр для детей и юношества,Sing,Masc
406,Международная ассоциация по страхованию кредитов и поручительству,Sing,Fem
407,Мануфактура Гобеленов,Sing,Masc
408,Институт Бутантан,Plur,
409,Французское действие,Sing,Neut
410,Университет Цуда,Sing,
411,Лунное общество,Sing,Neut
412,Товарищество южнорусских художников,Sing,Neut
413,Немецко-балтийская партия,Sing,Fem
414,Институт сварки,Plur,
415,Министерство почт и телеграфов Ирландии,Plur,
416,Национальный фонд (Великобритания),Sing,Masc
417,Красный спортивный интернационал,Sing,Masc
418,Общество военных людей,Sing,Neut
419,Королевское филателистическое общество Лондона,Sing,Neut
420,Африканская международная ассоциация,Sing,Fem
421,Почвенный институт имени В. В.,Plur,
422,Докучаева,Sing,Fem
423,Обсерватория Лоуэлла,Sing,Fem
424,Американское общество акварелистов,Sing,Neut
425,Научно-исследовательский клинический институт педиатрии имени академика Ю. Е.,Plur,
426,Вельтищева,Sing,Fem
427,Театр,,
428,Пиччини,Plur,Fem
429,Королевское историческое общество,Sing,Neut
430,Союз русских художников (1903—1923),Plur,Masc
431,"Узунчаршилы, Исмаил Хаккы",,
432,Беспартийный блок сотрудничества с правительством,Sing,Masc
433,Джойнт (организация),Sing,Masc
434,Бахире Бедиш Морова Айдилек,,
435,Революционное национальное собрание Чехословакии,Sing,Neut
436,Польское астрономическое общество,Sing,Neut
437,Фонд Менингера,Sing,Masc
438,Брукингский институт,Plur,
439,Подольск-Цемент,Sing,Masc
440,Фондовая биржа Сан-Паулу,Sing,Fem
441,Польская социалистическая партия в Пруссии,Sing,Fem
442,Лондонское миссионерское общество,Sing,Neut
443,Национальная библиотека Гватемалы имени Луиса,Sing,Fem
444,Кардосы-и-Арагона,Plur,Masc
445,Псковская областная универсальная научная библиотека,Sing,Fem
446,Киргизский национальный академический драматический театр имени Т.,Plur,
447,Абдумомунова,Sing,Fem
448,Мамадышское викариатство,Sing,Neut
449,Сенат Токоя,,
450,Военно-учёный комитет,Sing,Masc
451,Адмиралтейств-совет,Sing,
452,Мекице Нирдамим,,
453,Лейбористская партия Новой Зеландии,Sing,Fem
454,Великая национальная материнская ложа,Sing,Fem
455,К трём глобусам,Plur,Fem
456,Переславль-Залесское научно-просветительное общество,Sing,Neut
457,Ассоциация Гийома Бюде,Sing,Fem
458,Башкирский областной комитет КПСС,Sing,Masc
459,Центральный дом крестьянина,Sing,Masc
460,Спорт в Башкортостане,Sing,Masc
461,Свободная ассоциация немецких профсоюзов,Sing,Fem
462,Общество возрождения художественной Руси,Sing,Neut
463,Фундаментальная библиотека Белорусского государственного университета,Sing,Fem
464,Болгарская рабочая социал-демократическая партия (широких социалистов),Sing,Fem
465,Учредительное собрание Эстонии,Sing,Neut
466,Радикальная Венстре,Sing,Fem
467,Военно-морская академия «Гранма»,Sing,Fem
468,Плеяда художников 1920—1930-х годов,Plur,Masc
469,Театр сатиры (Москва),,
470,Сакраментки,,
471,Петроградское городское кредитное общество,Sing,Neut
472,Тайный совет Таиланда,Sing,Masc
473,Независимая социалистическая рабочая партия,Sing,Fem
474,Итальянский синдикальный союз,Sing,Masc
475,Союз справедливых,Plur,
476,Адалят (партия 1916—1920),Plur,
477,Украинский научно-исследовательский институт педагогики,Sing,Masc
478,Польское ревматологическое общество,Sing,Neut
479,Этрусская академия,Sing,Fem
480,Государственный Макеевский научно-исследовательский институт по безопасности работ в горной промышленности,Sing,Masc
481,Американская ассоциация наблюдателей переменных звёзд,Sing,Masc
482,Императорское Русское археологическое общество,Sing,Neut
483,Авангард (литературная группа),Sing,Masc
484,Социалистическая партия (Аргентина),Sing,Fem
485,Комитеты торговли и мануфактур,Plur,
486,Американское астрономическое общество,Sing,Neut
487,Региональная федерация обществ сопротивления Испанского региона,Sing,Fem
488,"Бальнеологический музей (Пьештяны, Словакия)",Plur,Fem
489,Институт философии РАН,Plur,
490,Комитет независимости Грузии (1914—1918),Sing,
491,Общество любителей польского языка,Sing,Neut
492,Советский филателист (издательство),Sing,Masc
493,Американская народная рада угро-русинов,Sing,Masc
494,Мусават (Партия равенства),Sing,Masc
495,Министерство иностранных дел,Sing,Masc
496,Турции,Sing,Fem
497,Сёстры Святого Семейства,Plur,Masc
498,Общество дешёвых квартир,Plur,Fem
499,Полярный научно-исследовательский институт морского рыбного хозяйства и океанографии имени Н. М.,Sing,Masc
500,Книповича,Sing,Fem
501,Великий восток Италии,Sing,Masc
502,Примирительный комитет Южной Африки,Sing,Masc
503,Канадская партия,Sing,Fem
504,Конституционно-императорская партия,Sing,Fem
505,Сарапульский драматический театр,Sing,Masc
506,Гражданский радикальный союз,Sing,Masc
507,Берлинский филармонический оркестр,Sing,Masc
508,Федеральный научный центр овощеводства,Sing,Masc
509,Союз независимой социалистической молодёжи «Жизнь»,Sing,Fem
510,Академия изящных искусств (Франция),Plur,Neut
511,Дворцовая полиция,Sing,Fem
512,Ассоциация по развитию университетских бизнес-школ,Sing,Fem
513,Либерально-консервативная партия (Испания),Sing,Fem
514,Папская академия Непорочного Зачатия,Sing,Fem
515,Союз коммунистов,Plur,Masc
516,Постоянная палата третейского суда,Sing,Fem
517,Всероссийский научно-исследовательский институт железнодорожного транспорта,Sing,Masc
518,Одесское отделение Императорского Русского технического общества,Sing,Neut
519,Международное общество современной музыки,Sing,Neut
520,Больница Красной горки (Рига),Sing,Fem
521,Анушилан самити,,
522,Американская экономическая ассоциация,Sing,Fem
523,Biblica,,
524,Гэльская атлетическая ассоциация,Sing,Fem
525,Британская научная ассоциация,Sing,Fem
526,Мексиканская коммунистическая партия,Sing,Fem
527,Богомольческое движение,Sing,Neut
528,Гипромез,,
529,Артек,Sing,Masc
530,Национал-либеральная партия (Германия),Sing,Fem
531,Лондонская библиотека,Sing,Fem
532,Комиссия по изучению четвертичного периода,Sing,Fem
533,Международный радиолюбительский союз,Sing,Masc
534,Шахматная федерация Москвы,Sing,Fem
535,Государственный научно-исследовательский институт гражданской авиации,Sing,Masc
536,Либеральная партия (Венесуэла),Sing,Fem
537,Дом учёных (Санкт-Петербург),,
538,Международная рабочая помощь,Sing,Fem
539,Большевики,Plur,Masc
540,Республиканская социалистическая партия,Sing,Fem
541,Азербайджанский театр юного зрителя имени М.,Sing,Masc
542,Горького,Sing,Masc
543,Национальное географическое общество,Sing,Neut
544,Московский драматический театр имени М. Н.,Sing,Masc
545,Ермоловой,,
546,Общество художников исторической живописи,Plur,Masc
547,Ассоциация кёрлинга Швеции,Sing,Fem
548,Российское военно-историческое общество,Sing,Neut
549,Минский церковный историко-археологический комитет,Sing,Masc
550,Балилла (молодёжная организация),Sing,Fem
551,Рязанский областной театр драмы,Sing,Masc
552,Королевский бельгийский институт естественных наук,Plur,
553,Бригада Маяковского,Sing,Masc
554,Общество попечения о бесприютных детях,Sing,Neut
555,"Прогрессивная партия (США, 1912)",Sing,Fem
556,Объединённые международные бюро по охране интеллектуальной собственности,Sing,Neut
557,Чартерхаус (школа),Sing,Masc
558,Апимондия,Sing,Fem
559,Алтайская духовная миссия,Sing,Fem
560,"Шумский, Александр Яковлевич",Sing,Masc
561,Американская лига защиты,Sing,Fem
562,Иттифак аль-Муслимин,Sing,Masc
563,Королевский институт британских архитекторов,Sing,Masc
564,Lions Clubs International,,
565,Федерация тенниса России,Sing,Fem
566,Профсоюз домашней прислуги,Plur,Masc
567,Всероссийский союз писателей,Sing,Masc
568,Институт Роберта Коха,Plur,
569,Одесский академический украинский музыкально-драматический театр имени В.,Sing,Masc
570,Василько,,
571,Олимпийский комитет Румынии,Sing,Masc
572,Общество автомобильных инженеров,Plur,Masc
573,Аргентинская региональная рабочая федерация,Sing,Fem
574,Центральный исполнительный комитет СССР,Sing,Masc
575,Польская социалистическая партия — Прежняя революционная фракция,Sing,Fem
576,Радикальная народная партия (Норвегия),Sing,Fem
577,Международная федерация за права человека,Sing,Fem
578,Польское авторское общество ZAiKS,,
579,Никарагуанская академия языка,Sing,Fem
580,Партия христианских земледельцев и католиков,Sing,Fem
581,"Тенгиршенк, Юсуф Кемаль-бей",,
582,"Алтай, Энгин",,
583,Финское общество наук и литературы,Sing,Neut
584,Московское общество собирателей почтовых знаков,Sing,Neut
585,Лондонское королевское общество,Sing,Neut
586,Немецкое палеонтологическое общество,Sing,Neut
587,Национальная библиотека Китая,Sing,Fem
588,Сионистско-социалистическая рабочая партия,,
589,Независимая рабочая партия (Великобритания),Sing,Fem
590,Могилёвский белорусский комитет,Sing,Masc
591,Национальная библиотека Чеченской Республики,Sing,Fem
592,Олимпийский комитет Филиппин,Sing,Masc
593,Ветеринарное управление МВД (Российская империя),Sing,Neut
594,Кошчи,Plur,Fem
595,Польское физическое общество,Sing,Neut
596,"Фейзиоглу, Турхан",Sing,
597,Национальная библиотека Республики Карелия,Sing,Fem
598,Fisk Jubilee Singers,,
599,Итальянская республиканская партия,Sing,Fem
600,Эквадорская социалистическая партия,Sing,Fem
601,Пушкинский Дом,Sing,Masc
602,Негласный комитет,Sing,Masc
603,Международный институт социологии,Sing,Masc
604,Университет Ниигаты,Sing,
605,Союз борьбы за освобождение рабочего класса,,
606,Институт государства и права РАН,Plur,
607,Клуб привидений,,
608,Сибирский комитет,Sing,Masc
609,Комиссия духовных училищ,Sing,Masc
610,Прогрессивно-консервативная партия Онтарио,Sing,Fem
611,"Яваш, Мансур",Sing,Masc
612,Московское филармоническое общество,Sing,Neut
613,Саратовская областная универсальная научная библиотека,Sing,Fem
614,Законодательный корпус (Вторая империя),Sing,Masc
615,"Акайдын, Мустафа",Sing,Masc
616,Союз народов,Plur,Masc
617,Фондовая биржа Сантьяго,Sing,Fem
618,Ассам Сахитья Сабха,Sing,Masc
619,Национальная ассоциация губернаторов,Sing,Fem
620,Польское общество естествоиспытателей имени,Sing,Neut
621,Коперника,Sing,Fem
622,Коммунистическая партия Китая,Sing,Fem
623,Учредительное собрание Грузии,Sing,Neut
624,Коммунистическая партия Австралии,Sing,Fem
625,Парк,Sing,Masc
626,Жилибера (Гродно),,
627,Международная торговая палата,Sing,Fem
628,Комитеты общественного здравия,Plur,Masc
